"","Comment","Verdict","text","score"
"43","Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.",0,"hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn t want to eat it for fear of getting sick",-2
"44","On a positive note, our server was very attentive and provided great service.",1,"on a positive note our server was very attentive and provided great service",3
"45","Frozen pucks of disgust, with some of the worst people behind the register.",0,"frozen pucks of disgust with some of the worst people behind the register",-3
"46","The only thing I did like was the prime rib and dessert section.",1,"the only thing i did like was the prime rib and dessert section",1
"47","It's too bad the food is so damn generic.",0,"it s too bad the food is so damn generic",-2
"48","The burger is good beef, cooked just right.",1,"the burger is good beef cooked just right",2
"49","If you want a sandwich just go to any Firehouse!!!!!",1,"if you want a sandwich just go to any firehouse",0
"50","My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,"my side greek salad with the greek dressing was so tasty and the pita and hummus was very refreshing",1
"51","We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.",1,"we ordered the duck rare and it was pink and tender on the inside with a nice char on the outside",2
"52","He came running after us when he realized my husband had left his sunglasses on the table.",1,"he came running after us when he realized my husband had left his sunglasses on the table",0
"53","Their chow mein is so good!",1,"their chow mein is so good",1
"54","They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,"they have horrible attitudes towards customers and talk down to each one when customers don t enjoy their food",0
"55","The portion was huge!",1,"the portion was huge",0
"56","Loved it...friendly servers, great food, wonderful and imaginative menu.",1,"loved it friendly servers great food wonderful and imaginative menu",5
"57","The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.",0,"the heart attack grill in downtown vegas is an absolutely flat lined excuse for a restaurant",-2
"58","Not much seafood and like 5 strings of pasta at the bottom.",0,"not much seafood and like strings of pasta at the bottom",1
"59","The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,"the salad had just the right amount of sauce to not over power the scallop which was perfectly cooked",2
"60","The ripped banana was not only ripped, but petrified and tasteless.",0,"the ripped banana was not only ripped but petrified and tasteless",-3
"61","At least think to refill my water before I struggle to wave you over for 10 minutes.",0,"at least think to refill my water before i struggle to wave you over for minutes",-1
"62","This place receives stars for their APPETIZERS!!!",1,"this place receives stars for their appetizers",0
"63","The cocktails are all handmade and delicious.",1,"the cocktails are all handmade and delicious",1
"64","We'd definitely go back here again.",1,"we d definitely go back here again",0
"65","We are so glad we found this place.",1,"we are so glad we found this place",1
"66","Great food and service, huge portions and they give a military discount.",1,"great food and service huge portions and they give a military discount",1
"67","Always a great time at Dos Gringos!",1,"always a great time at dos gringos",1
"68","Update.....went back for a second time and it was still just as amazing",1,"update went back for a second time and it was still just as amazing",1
"69","We got the food and apparently they have never heard of salt and the batter on the fish was chewy.",0,"we got the food and apparently they have never heard of salt and the batter on the fish was chewy",0
"70","A great way to finish a great.",1,"a great way to finish a great",2
"71","The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,"the deal included tastings and drinks and jeff went above and beyond what we expected",0
"72","Really, Really good rice, all the time.",1,"really really good rice all the time",1
"73","The service was meh.",0,"the service was meh",0
"74","It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,"it took over min to get their milkshake which was nothing more than chocolate milk",0
"75","I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,"i guess i should have known that this place would suck because it is inside of the excalibur but i didn t use my common sense",-1
"76","The scallop dish is quite appalling for value as well.",0,"the scallop dish is quite appalling for value as well",0
"77","2 times - Very Bad Customer Service !",0,"times very bad customer service",-1
"78","The sweet potato fries were very good and seasoned well.",1,"the sweet potato fries were very good and seasoned well",4
"79","Today is the second time I've been to their lunch buffet and it was pretty good.",1,"today is the second time i ve been to their lunch buffet and it was pretty good",2
"80","There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.",0,"there is so much good food in vegas that i feel cheated for wasting an eating opportunity by going to rice and company",-1
"81","Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.",0,"coming here is like experiencing an underwhelming relationship where both parties can t wait for the other person to ask to break up",-1
"82","walked in and the place smelled like an old grease trap and only 2 others there eating.",0,"walked in and the place smelled like an old grease trap and only others there eating",-1
"83","The turkey and roast beef were bland.",0,"the turkey and roast beef were bland",-1
"84","This place has it!",1,"this place has it",0
"85","The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.",0,"the pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old",-2
"86","I love the Pho and the spring rolls oh so yummy you have to try.",1,"i love the pho and the spring rolls oh so yummy you have to try",1
"87","The poor batter to meat ratio made the chicken tenders very unsatisfying.",0,"the poor batter to meat ratio made the chicken tenders very unsatisfying",-1
"88","All I have to say is the food was amazing!!!",1,"all i have to say is the food was amazing",1
"89","Omelets are to die for!",1,"omelets are to die for",-1
"90","Everything was fresh and delicious!",1,"everything was fresh and delicious",2
"91","In summary, this was a largely disappointing dining experience.",0,"in summary this was a largely disappointing dining experience",-1
"92","It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,"it s like a really sexy party in your mouth where you re outrageously flirting with the hottest person at the party",2
"93","Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,"never been to hard rock casino before will never ever step forward in it again",-1
"94","Best breakfast buffet!!!",1,"best breakfast buffet",1
"95","say bye bye to your tip lady!",0,"say bye bye to your tip lady",0
"96","We'll never go again.",0,"we ll never go again",0
"97","Will be back again!",1,"will be back again",0
"98","Food arrived quickly!",1,"food arrived quickly",0
"99","It was not good.",0,"it was not good",1
"100","On the up side, their cafe serves really good food.",1,"on the up side their cafe serves really good food",1
"101","Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,"our server was fantastic and when he found out the wife loves roasted garlic and bone marrow he added extra to our meal and another marrow to go",2
"102","The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,"the only good thing was our waiter he was very helpful and kept the bloddy mary s coming",2
"103","Best Buffet in town, for the price you cannot beat it.",1,"best buffet in town for the price you cannot beat it",1
"104","I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,"i loved their mussels cooked in this wine reduction the duck was tender and their potato dishes were delicious",3
"105","This is one of the better buffets that I have been to.",1,"this is one of the better buffets that i have been to",1
"106","So we went to Tigerlilly and had a fantastic afternoon!",1,"so we went to tigerlilly and had a fantastic afternoon",1
"107","The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,"the food was delicious our bartender was attentive and personable and we got a great deal",3
"108","The ambience is wonderful and there is music playing.",1,"the ambience is wonderful and there is music playing",1
"109","Will go back next trip out.",1,"will go back next trip out",0
"110","Sooooo good!!",1,"sooooo good",1
"111","REAL sushi lovers, let's be honest - Yama is not that good.",0,"real sushi lovers let s be honest yama is not that good",2
"112","At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,"at least min passed in between us ordering and the food arriving and it wasn t that busy",0
"113","This is a really fantastic Thai restaurant which is definitely worth a visit.",1,"this is a really fantastic thai restaurant which is definitely worth a visit",2
"114","Nice, spicy and tender.",1,"nice spicy and tender",2
"115","Good prices.",1,"good prices",1
"116","Check it out.",1,"check it out",0
"117","It was pretty gross!",0,"it was pretty gross",0
"118","I've had better atmosphere.",0,"i ve had better atmosphere",1
"119","Kind of hard to mess up a steak but they did.",0,"kind of hard to mess up a steak but they did",-2
"120","Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,"although i very much liked the look and sound of this place the actual experience was a bit disappointing",0
"121","I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.",0,"i just don t know how this place managed to served the blandest food i have ever eaten when they are preparing indian cuisine",0
"122","Worst service to boot, but that is the least of their worries.",0,"worst service to boot but that is the least of their worries",-2
"123","Service was fine and the waitress was friendly.",1,"service was fine and the waitress was friendly",2
"124","The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,"the guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak he s ever eaten",2
"125","We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,"we thought you d have to venture further away to get good sushi but this place really hit the spot that night",1
"126","Host staff were, for lack of a better word, BITCHES!",0,"host staff were for lack of a better word bitches",0
"127","Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...",0,"bland not a liking this place for a number of reasons and i don t want to waste time on bad reviewing i ll leave it at that",-2
"128","Phenomenal food, service and ambiance.",1,"phenomenal food service and ambiance",1
"129","I wouldn't return.",0,"i wouldn t return",0
"130","Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,"definitely worth venturing off the strip for the pork belly will return next time i m in vegas",1
"131","This place is way too overpriced for mediocre food.",0,"this place is way too overpriced for mediocre food",-2
"132","Penne vodka excellent!",1,"penne vodka excellent",1
"133","They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,"they have a good selection of food including a massive meatloaf sandwich a crispy chicken wrap a delish tuna melt and some tasty burgers",1
"134","The management is rude.",0,"the management is rude",-1
"135","Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,"delicious nyc bagels good selections of cream cheese real lox with capers even",2
"136","Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,"great subway in fact it s so good when you come here every other subway will not meet your expectations",2
"137","I had a seriously solid breakfast here.",1,"i had a seriously solid breakfast here",1
"138","This is one of the best bars with food in Vegas.",1,"this is one of the best bars with food in vegas",1
"139","He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,"he was extremely rude and really there are so many other restaurants i would love to dine at during a weekend in vegas",0
"140","My drink was never empty and he made some really great menu suggestions.",1,"my drink was never empty and he made some really great menu suggestions",1
"141","Don't do it!!!!",0,"don t do it",0
"142","The waiter wasn't helpful or friendly and rarely checked on us.",0,"the waiter wasn t helpful or friendly and rarely checked on us",2
"143","My husband and I ate lunch here and were very disappointed with the food and service.",0,"my husband and i ate lunch here and were very disappointed with the food and service",-1
"144","And the red curry had so much bamboo shoots and wasn't very tasty to me.",0,"and the red curry had so much bamboo shoots and wasn t very tasty to me",0
"145","Nice blanket of moz over top but i feel like this was done to cover up the subpar food.",1,"nice blanket of moz over top but i feel like this was done to cover up the subpar food",3
"146","The bathrooms are clean and the place itself is well decorated.",1,"the bathrooms are clean and the place itself is well decorated",2
"147","The menu is always changing, food quality is going down & service is extremely slow.",0,"the menu is always changing food quality is going down service is extremely slow",-1
"148","The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,"the service was a little slow considering that were served by people servers so the food was coming in a slow pace",-2
"149","I give it 2 thumbs down",0,"i give it thumbs down",0
"150","We watched our waiter pay a lot more attention to other tables and ignore us.",0,"we watched our waiter pay a lot more attention to other tables and ignore us",-1
"151","My fiancé and I came in the middle of the day and we were greeted and seated right away.",1,"my fiancé and i came in the middle of the day and we were greeted and seated right away",1
"152","This is a great restaurant at the Mandalay Bay.",1,"this is a great restaurant at the mandalay bay",1
"153","We waited for forty five minutes in vain.",0,"we waited for forty five minutes in vain",-1
"154","Crostini that came with the salad was stale.",0,"crostini that came with the salad was stale",-1
"155","Some highlights : Great quality nigiri here!",1,"some highlights great quality nigiri here",1
"156","the staff is friendly and the joint is always clean.",1,"the staff is friendly and the joint is always clean",2
"157","this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.",1,"this was a different cut than the piece the other day but still wonderful and tender s well as well flavored",4
"158","I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.",1,"i ordered the voodoo pasta and it was the first time i d had really excellent pasta since going gluten free several years ago",2
"159","this place is good.",1,"this place is good",1
"160","Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,"unfortunately we must have hit the bakery on leftover day because everything we ordered was stale",-2
"161","I came back today since they relocated and still not impressed.",0,"i came back today since they relocated and still not impressed",1
"162","I was seated immediately.",1,"i was seated immediately",0
"163","Their menu is diverse, and reasonably priced.",1,"their menu is diverse and reasonably priced",1
"164","Avoid at all cost!",0,"avoid at all cost",0
"165","Restaurant is always full but never a wait.",1,"restaurant is always full but never a wait",-1
"166","DELICIOUS!!",1,"delicious",1
"167","This place is hands-down one of the best places to eat in the Phoenix metro area.",1,"this place is hands down one of the best places to eat in the phoenix metro area",1
"168","So don't go there if you are looking for good food...",0,"so don t go there if you are looking for good food",1
"169","I've never been treated so bad.",0,"i ve never been treated so bad",-1
"170","Bacon is hella salty.",1,"bacon is hella salty",0
"171","We also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.",0,"we also ordered the spinach and avocado salad the ingredients were sad and the dressing literally had zero taste",-1
"172","This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,"this really is how vegas fine dining used to be right down to the menus handed to the ladies that have no prices listed",2
"173","The waitresses are very friendly.",1,"the waitresses are very friendly",1
"174","Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,"lordy the khao soi is a dish that is not to be missed for curry lovers",-1
"175","Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.",1,"everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter",3
"176","Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,"perhaps i caught them on an off night judging by the other reviews but i m not inspired to go back",0
"177","The service here leaves a lot to be desired.",0,"the service here leaves a lot to be desired",0
"178","The atmosphere is modern and hip, while maintaining a touch of coziness.",1,"the atmosphere is modern and hip while maintaining a touch of coziness",1
"179","Not a weekly haunt, but definitely a place to come back to every once in a while.",1,"not a weekly haunt but definitely a place to come back to every once in a while",-1
"180","We literally sat there for 20 minutes with no one asking to take our order.",0,"we literally sat there for minutes with no one asking to take our order",0
"181","The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,"the burger had absolutely no flavor the meat itself was totally bland the burger was overcooked and there was no charcoal flavor",-1
"182","I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.",0,"i also decided not to send it back because our waitress looked like she was on the verge of having a heart attack",0
"183","I dressed up to be treated so rudely!",0,"i dressed up to be treated so rudely",0
"184","It was probably dirt.",0,"it was probably dirt",-1
"185","Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,"love this place hits the spot when i want something healthy but not lacking in quantity or flavor",1
"186","I ordered the Lemon raspberry ice cocktail which was also incredible.",1,"i ordered the lemon raspberry ice cocktail which was also incredible",0
"187","The food sucked, which we expected but it sucked more than we could have imagined.",0,"the food sucked which we expected but it sucked more than we could have imagined",-2
"188","Interesting decor.",1,"interesting decor",1
"189","What I really like there is the crepe station.",1,"what i really like there is the crepe station",1
"190","Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,"also were served hot bread and butter and home made potato chips with bacon bits on top very original and very good",3
"191","you can watch them preparing the delicious food!)",1,"you can watch them preparing the delicious food",1
"192","Both of the egg rolls were fantastic.",1,"both of the egg rolls were fantastic",1
"193","When my order arrived, one of the gyros was missing.",0,"when my order arrived one of the gyros was missing",0
"194","I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,"i had a salad with the wings and some ice cream for dessert and left feeling quite satisfied",1
"195","I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.",0,"i m not really sure how joey s was voted best hot dog in the valley by readers of phoenix magazine",2
"196","The best place to go for a tasty bowl of Pho!",1,"the best place to go for a tasty bowl of pho",1
"197","The live music on Fridays totally blows.",0,"the live music on fridays totally blows",0
"198","I've never been more insulted or felt disrespected.",0,"i ve never been more insulted or felt disrespected",-1
"199","Very friendly staff.",1,"very friendly staff",1
"200","It is worth the drive.",1,"it is worth the drive",1
"201","I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,"i had heard good things about this place but it exceeding every hope i could have dreamed of",2
"202","Food was great and so was the serivce!",1,"food was great and so was the serivce",1
"203","The warm beer didn't help.",0,"the warm beer didn t help",1
"204","Great brunch spot.",1,"great brunch spot",1
"205","Service is friendly and inviting.",1,"service is friendly and inviting",1
"206","Very good lunch spot.",1,"very good lunch spot",1
"207","I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.",0,"i ve lived here since and this was the first and last time i ve stepped foot into this place",0
"208","The WORST EXPERIENCE EVER.",0,"the worst experience ever",-1
"209","Must have been an off night at this place.",0,"must have been an off night at this place",0
"210","The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1,"the sides are delish mixed mushrooms yukon gold puree white corn beateous",1
"211","If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,"if that bug never showed up i would have given a for sure but on the other side of the wall where this bug was climbing was the kitchen",-2
"212","For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,"for about minutes we we re waiting for her salad when we realized that it wasn t coming any time soon",-1
"213","My friend loved the salmon tartar.",1,"my friend loved the salmon tartar",1
"214","Won't go back.",0,"won t go back",1
"215","Extremely Tasty!",1,"extremely tasty",0
"216","Waitress was good though!",1,"waitress was good though",1
"217","Soggy and not good.",0,"soggy and not good",1
"218","The Jamaican mojitos are delicious.",1,"the jamaican mojitos are delicious",1
"219","Which are small and not worth the price.",0,"which are small and not worth the price",1
"220","#NAME?",1,"",0
"221","The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,"the shower area is outside so you can only rinse not take a full shower unless you don t mind being nude for everyone to see",0
"222","The service was a bit lacking.",0,"the service was a bit lacking",-1
"223","Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,"lobster bisque bussell sprouts risotto filet all needed salt and pepper and of course there is none at the tables",0
"224","Hopefully this bodes for them going out of business and someone who can cook can come in.",0,"hopefully this bodes for them going out of business and someone who can cook can come in",0
"225","It was either too cold, not enough flavor or just bad.",0,"it was either too cold not enough flavor or just bad",-1
"226","I loved the bacon wrapped dates.",1,"i loved the bacon wrapped dates",1
"227","This is an unbelievable BARGAIN!",1,"this is an unbelievable bargain",0
"228","The folks at Otto always make us feel so welcome and special.",1,"the folks at otto always make us feel so welcome and special",1
"229","As for the ""mains,"" also uninspired.",0,"as for the mains also uninspired",0
"230","This is the place where I first had pho and it was amazing!!",1,"this is the place where i first had pho and it was amazing",1
"231","This wonderful experience made this place a must-stop whenever we are in town again.",1,"this wonderful experience made this place a must stop whenever we are in town again",1
"232","If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,"if the food isn t bad enough for you then enjoy dealing with the world s worst annoying drunk people",-2
"233","Very very fun chef.",1,"very very fun chef",1
"234","Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,"ordered a double cheeseburger got a single patty that was falling apart picture uploaded yeah still sucks",-2
"235","Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.",1,"great place to have a couple drinks and watch any and all sporting events as the walls are covered with tv s",1
"236","If it were possible to give them zero stars, they'd have it.",0,"if it were possible to give them zero stars they d have it",0
"237","The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,"the descriptions said yum yum sauce and another said eel sauce yet another said spicy mayo well none of the rolls had sauces on them",1
"238","I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,"i d say that would be the hardest decision honestly all of m s dishes taste how they are supposed to taste amazing",1
"239","If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.",0,"if she had not rolled the eyes we may have stayed not sure if we will go back and try it again",0
"240","Everyone is very attentive, providing excellent customer service.",1,"everyone is very attentive providing excellent customer service",2
"241","Horrible - don't waste your time and money.",0,"horrible don t waste your time and money",-2
"242","Now this dish was quite flavourful.",1,"now this dish was quite flavourful",0
"243","By this time our side of the restaurant was almost empty so there was no excuse.",0,"by this time our side of the restaurant was almost empty so there was no excuse",-1
"244","(It wasn't busy either) Also, the building was FREEZING cold.",0,"it wasn t busy either also the building was freezing cold",-2
"245","like the other reviewer said ""you couldn't pay me to eat at this place again.""",0,"like the other reviewer said you couldn t pay me to eat at this place again",1
"246","-Drinks took close to 30 minutes to come out at one point.",0,"drinks took close to minutes to come out at one point",0
"247","Seriously flavorful delights, folks.",1,"seriously flavorful delights folks",0
"248","Much better than the other AYCE sushi place I went to in Vegas.",1,"much better than the other ayce sushi place i went to in vegas",1
"249","The lighting is just dark enough to set the mood.",1,"the lighting is just dark enough to set the mood",0
"250","Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.",0,"based on the sub par service i received and no effort to show their gratitude for my business i won t be going back",2
"251","Owner's are really great people.!",1,"owner s are really great people",1
"252","There is nothing privileged about working/eating there.",0,"there is nothing privileged about working eating there",1
"253","The Greek dressing was very creamy and flavorful.",1,"the greek dressing was very creamy and flavorful",0
"254","Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,"overall i don t think that i would take my parents to this place again because they made most of the similar complaints that i silently felt too",-1
"255","Now the pizza itself was good the peanut sauce was very tasty.",1,"now the pizza itself was good the peanut sauce was very tasty",1
"256","We had 7 at our table and the service was pretty fast.",1,"we had at our table and the service was pretty fast",2
"257","Fantastic service here.",1,"fantastic service here",1
"258","I as well would've given godfathers zero stars if possible.",0,"i as well would ve given godfathers zero stars if possible",1
"259","They know how to make them here.",1,"they know how to make them here",0
"260","very tough and very short on flavor!",0,"very tough and very short on flavor",1
"261","I hope this place sticks around.",1,"i hope this place sticks around",0
"262","I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,"i have been in more than a few bars in vegas and do not ever recall being charged for tap water",0
"263","The restaurant atmosphere was exquisite.",1,"the restaurant atmosphere was exquisite",1
"264","Good service, very clean, and inexpensive, to boot!",1,"good service very clean and inexpensive to boot",3
"265","The seafood was fresh and generous in portion.",1,"the seafood was fresh and generous in portion",2
"266","Plus, it's only 8 bucks.",1,"plus it s only bucks",0
"267","The service was not up to par, either.",0,"the service was not up to par either",0
"268","Thus far, have only visited twice and the food was absolutely delicious each time.",1,"thus far have only visited twice and the food was absolutely delicious each time",1
"269","Just as good as when I had it more than a year ago!",1,"just as good as when i had it more than a year ago",1
"270","For a self proclaimed coffee cafe, I was wildly disappointed.",0,"for a self proclaimed coffee cafe i was wildly disappointed",-2
"271","The Veggitarian platter is out of this world!",1,"the veggitarian platter is out of this world",0
"272","You cant go wrong with any of the food here.",1,"you cant go wrong with any of the food here",-1
"273","You can't beat that.",1,"you can t beat that",0
"274","Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,"stopped by this place while in madison for the ironman very friendly kind staff",1
"275","The chefs were friendly and did a good job.",1,"the chefs were friendly and did a good job",2
"276","I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,"i ve had better not only from dedicated boba tea spots but even from jenni pho",2
"277","I liked the patio and the service was outstanding.",1,"i liked the patio and the service was outstanding",2
"278","The goat taco didn't skimp on the meat and wow what FLAVOR!",1,"the goat taco didn t skimp on the meat and wow what flavor",1
"279","I think not again",0,"i think not again",0
"280","I had the mac salad and it was pretty bland so I will not be getting that again.",0,"i had the mac salad and it was pretty bland so i will not be getting that again",0
"281","I went to Bachi Burger on a friend's recommendation and was not disappointed.",1,"i went to bachi burger on a friend s recommendation and was not disappointed",0
"282","Service stinks here!",0,"service stinks here",-1
"283","I waited and waited.",0,"i waited and waited",0
"284","This place is not quality sushi, it is not a quality restaurant.",0,"this place is not quality sushi it is not a quality restaurant",0
"285","I would definitely recommend the wings as well as the pizza.",1,"i would definitely recommend the wings as well as the pizza",2
"286","Great Pizza and Salads!",1,"great pizza and salads",1
"287","Things that went wrong: - They burned the saganaki.",0,"things that went wrong they burned the saganaki",-2
"288","We waited an hour for what was a breakfast I could have done 100 times better at home.",0,"we waited an hour for what was a breakfast i could have done times better at home",1
"289","This place is amazing!",1,"this place is amazing",1
"290","I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0,"i hate to disagree with my fellow yelpers but my husband and i were so disappointed with this place",-3
"291","Waited 2 hours & never got either of our pizzas as many other around us who came in later did!",0,"waited hours never got either of our pizzas as many other around us who came in later did",0
