"","Comment","Verdict","text","score"
"30","Doesn't hold charge.",0,"doesn t hold charge",0
"31","This is a simple little phone to use, but the breakage is unacceptible.",0,"this is a simple little phone to use but the breakage is unacceptible",0
"32","This product is ideal for people like me whose ears are very sensitive.",1,"this product is ideal for people like me whose ears are very sensitive",3
"33","It is unusable in a moving car at freeway speed.",0,"it is unusable in a moving car at freeway speed",-1
"34","I have two more years left in this contract and I hate this phone.",0,"i have two more years left in this contract and i hate this phone",-1
"35","Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended",1,"car charger as well as ac charger are included to make sure you never run out of juice highy recommended",2
"36","You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.",0,"you need at least mins to get to your phone book from the time you first turn on the phone battery life is short",0
"37","It has kept up very well.",1,"it has kept up very well",1
"38","Poor Talk Time Performance.",0,"poor talk time performance",-1
"39","The case is great and works fine with the 680.",1,"the case is great and works fine with the",3
"40","worthless product.",0,"worthless product",-1
"41","It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1,"it has a great camera thats mp and the pics are nice and clear with great picture quality",4
"42","I was not impressed by this product.",0,"i was not impressed by this product",1
"43","Nice headset priced right.",1,"nice headset priced right",2
"44","I only hear garbage for audio.",0,"i only hear garbage for audio",-1
"45","Excellent bluetooth headset.",1,"excellent bluetooth headset",1
"46","It has all the features I want",1,"it has all the features i want",0
"47","Who in their right mind is gonna buy this battery?.",0,"who in their right mind is gonna buy this battery",1
"48","AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.",0,"after arguing with verizon regarding the dropped calls we returned the phones after two days",0
"49","This case seems well made.",1,"this case seems well made",1
"50","Disappointed with battery.",0,"disappointed with battery",-1
"51","Not loud enough and doesn't turn on like it should.",0,"not loud enough and doesn t turn on like it should",1
"52","good protection and does not make phone too bulky.",1,"good protection and does not make phone too bulky",1
"53","A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.",1,"a usable keyboard actually turns a pda into a real world useful machine instead of just a neat gadget",3
"54","This phone is pretty sturdy and I've never had any large problems with it.",1,"this phone is pretty sturdy and i ve never had any large problems with it",1
"55","I love this thing!",1,"i love this thing",1
"56","Everything about it is fine and reasonable for the price i.e.",1,"everything about it is fine and reasonable for the price i e",2
"57","VERY DISAPPOINTED.",0,"very disappointed",-1
"58","I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!",1,"i even dropped this phone into a stream and it was submerged for seconds and it still works great",2
"59","I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.",1,"i have been very happy with the and have had no complaints from any one regarding my sound quality on their end",0
"60","The buttons for on and off are bad.",0,"the buttons for on and off are bad",-1
"61","Essentially you can forget Microsoft's tech support.",0,"essentially you can forget microsoft s tech support",1
"62","I really recommend this faceplates since it looks very nice, elegant and cool.",1,"i really recommend this faceplates since it looks very nice elegant and cool",4
"63","These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.",1,"these headphones were a great find and i think they are perhaps the best purchase i ve made in the last several years seriously",2
"64","Buy a different phone - but not this.",0,"buy a different phone but not this",0
"65","You have to hold the phone at a particular angle for the other party to hear you clearly.",0,"you have to hold the phone at a particular angle for the other party to hear you clearly",1
"66","The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.",0,"the one big drawback of the mp player is that the buttons on the phone s front cover that let you pause and skip songs lock out after a few seconds",-1
"67","A week later after I activated it, it suddenly died.",0,"a week later after i activated it it suddenly died",-1
"68","It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.",1,"it feels more comfortable than most headsets because i wear glasses and that gets in the way sometimes",1
"69","Great for iPODs too.",1,"great for ipods too",1
"70","This device is great in several situations:1.)",1,"this device is great in several situations",1
"71","Mic Doesn't work.",0,"mic doesn t work",1
"72","Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0,"even in my bmw series which is fairly quiet i have trouble hearing what the other person is saying",1
"73","Great choice!",1,"great choice",1
"74","Nice docking station for home or work.",1,"nice docking station for home or work",2
"75","This is a beautiful phone.",1,"this is a beautiful phone",1
"76","Love this product.",1,"love this product",1
"77","Do Not Buy for D807...wrongly advertised for D807.",0,"do not buy for d wrongly advertised for d",-1
"78","This is a great little item.",1,"this is a great little item",1
"79","I love this phone , It is very handy and has a lot of features .",1,"i love this phone it is very handy and has a lot of features",2
"80","I purchased this and within 2 days it was no longer working!!!!!!!!!",0,"i purchased this and within days it was no longer working",0
"81","I wear it everyday and it holds up very well.",1,"i wear it everyday and it holds up very well",1
"82","Not a good bargain.",0,"not a good bargain",2
"83","Well packaged, arrived on time, and works as intended.",1,"well packaged arrived on time and works as intended",2
"84","The battery runs down quickly.",0,"the battery runs down quickly",0
"85","This item worked great, but it broke after 6 months of use.",0,"this item worked great but it broke after months of use",1
"86","The headsets are easy to use and everyone loves them.",1,"the headsets are easy to use and everyone loves them",2
"87","This phone works great.",1,"this phone works great",2
"88","The construction of the headsets is poor.",0,"the construction of the headsets is poor",-1
"89","Product was excellent and works better than the verizon one and Boy was it cheaper!",1,"product was excellent and works better than the verizon one and boy was it cheaper",4
"90","The phone loads super!",1,"the phone loads super",1
"91","For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0,"for a product that costs as much as this one does i expect it to work far better and with greater ease than this thing does",3
"92","Made very sturdy.",1,"made very sturdy",1
"93","Worked great!.",1,"worked great",2
"94","The ear buds only play music in one ear.",0,"the ear buds only play music in one ear",0
"95","Dont waste your money...",0,"dont waste your money",-1
"96","Will order from them again!",1,"will order from them again",0
"97","If you plan to use this in a car forget about it.",0,"if you plan to use this in a car forget about it",0
"98","I found this product to be waaay too big.",0,"i found this product to be waaay too big",0
"99","Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.",1,"best i ve found so far i ve tried other bluetooths and this one has the best quality for both me and the listener as well as ease of using",4
"100","I'm very disappointed with my decision.",0,"i m very disappointed with my decision",-1
"101","Integrated seamlessly with the Motorola RAZR phone.",1,"integrated seamlessly with the motorola razr phone",1
"102","Buyer Beware, you could flush money right down the toilet.",0,"buyer beware you could flush money right down the toilet",0
"103","Definitely a bargain.",1,"definitely a bargain",1
"104","The price was very good and with the free shipping and all it was a good purchase.",1,"the price was very good and with the free shipping and all it was a good purchase",3
"105","I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.",0,"i received my supposedly new motorola and apparently there was not a match between the phone and the charger",0
"106","Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1,"pros good camera very nice pictures also has cool styles like black and white and more",5
"107","That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0,"that s a huge design flaw unless i m not using it correctly which i don t think is the case",0
"108","I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1,"i love my headset my jabra bluetooth headset is great the reception is very good and the ear piece is a comfortable fit",4
"109","The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0,"the camera although rated at an impressive megapixels renders images that fall well below expectations of such a relatively high resolution",1
"110","I purcashed this for the car charger and it does not work.",0,"i purcashed this for the car charger and it does not work",1
"111","Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1,"sound quality on both end is excellent i use headset to call my wife and ask my wife to use headset to call me",1
"112","This phone is slim and light and the display is beautiful.",1,"this phone is slim and light and the display is beautiful",1
"113","its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.",1,"its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case",4
"114","Great product, fast shipping!.",1,"great product fast shipping",2
"115","Absolutely great.",1,"absolutely great",1
"116","The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.",1,"the keyboard is a nice compromise between a full qwerty and the basic cell phone number keypad",1
"117","i got this phone around the end of may and i'm completely unhappy with it.",0,"i got this phone around the end of may and i m completely unhappy with it",-1
"118","It is very comfortable on the ear.",1,"it is very comfortable on the ear",1
"119","It has been a winner for us.",1,"it has been a winner for us",1
"120",")Setup couldn't have been simpler.",1,"setup couldn t have been simpler",1
"121","I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.",1,"i ve tried several different earpieces for my cell phone and this jabra one is the first one i ve found that fits my ear comfortably",1
"122","Could not get strong enough signal.",0,"could not get strong enough signal",2
"123","Iam very pleased with my purchase.",1,"iam very pleased with my purchase",1
"124","Bad Quality.",0,"bad quality",-1
"125","Gets the job done.",1,"gets the job done",0
"126","Great audio!.",1,"great audio",1
"127","Basically the service was very bad.",0,"basically the service was very bad",-1
"128","it did not work in my cell phone plug i am very up set with the charger!.",0,"it did not work in my cell phone plug i am very up set with the charger",1
"129","I've only had my bluetooth for a few weeks, but I really like it.",1,"i ve only had my bluetooth for a few weeks but i really like it",1
"130","The BT headset was such a disapoinment.",0,"the bt headset was such a disapoinment",0
"131","It is so small and you don't even realize that it is there after a while of getting used to it.",1,"it is so small and you don t even realize that it is there after a while of getting used to it",0
"132","The accompanied software is almost brilliant.",1,"the accompanied software is almost brilliant",1
"133","Headset works great & was packaged nicely to avoid any damage.",1,"headset works great was packaged nicely to avoid any damage",2
"134","!I definitly recommend!!",1,"i definitly recommend",1
"135","Buyer--Be Very Careful!!!!!.",0,"buyer be very careful",0
"136","The majority of the Logitech earbud headsets failed.",0,"the majority of the logitech earbud headsets failed",-1
"137","Very good stuff for the price.",1,"very good stuff for the price",1
"138","My headset works just peachy-keen.",1,"my headset works just peachy keen",2
"139","In my house I was getting dropped coverage upstairs and no coverage in my basement.",0,"in my house i was getting dropped coverage upstairs and no coverage in my basement",0
"140","Voice recognition is tremendous!",1,"voice recognition is tremendous",0
"141","What a waste.",0,"what a waste",-1
"142","During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0,"during several different minute calls i experienced drops and it was in an area that had bars",0
"143","I was not happy with this item.",0,"i was not happy with this item",1
"144","very disappointed.",0,"very disappointed",-1
"145","The phone takes FOREVER to charge like 2 to 5 hours literally.",0,"the phone takes forever to charge like to hours literally",1
"146","I got this phone on reccomendation from a relative and I'm glad I did.",1,"i got this phone on reccomendation from a relative and i m glad i did",1
"147","What a waste of time!",0,"what a waste of time",-1
"148","Its reception is very very poor.",0,"its reception is very very poor",-1
"149","Items stated as included from the description ARE NOT INCLUDED.",0,"items stated as included from the description are not included",0
"150","After 3 months, screen just went black all of a sudden.",0,"after months screen just went black all of a sudden",0
"151","I Was Hoping for More.",0,"i was hoping for more",0
"152","Audio Quality is poor, very poor.",0,"audio quality is poor very poor",-2
"153","I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!",1,"i had absolutely no problem with this headset linking to my blackberry curve",-1
"154","I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1,"i know that sounds funny but to me it seemed like sketchy technology that wouldn t work well well this one works great",4
"155","I've bought $5 wired headphones that sound better than these.",0,"i ve bought wired headphones that sound better than these",1
"156","This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.",1,"this phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used",2
"157","Nice quality build, unlike some cheap s*** out there.",1,"nice quality build unlike some cheap s out there",0
"158","This item is fantastic and works perfectly!",1,"this item is fantastic and works perfectly",3
"159","And I just love the colors!",1,"and i just love the colors",1
"160","W810i is just SUPERB.",1,"w i is just superb",1
"161","All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0,"all i can do is whine on the internet so here it goes the more i use the thing the less i like it",0
"162","Great charger.",1,"great charger",1
"163","This is essentially a communications tool that does not communicate.",0,"this is essentially a communications tool that does not communicate",0
"164","Works like a charm; it work the same as the one I got with the phone.",1,"works like a charm it work the same as the one i got with the phone",4
"165","I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0,"i still maintain that monkeys shouldn t make headphones we just obviously don t share enough dna to copy the design over to humans",1
"166","Great Value.",1,"great value",1
"167","Doesn't work at all.. I bougth it for my L7c and its not working.",0,"doesn t work at all i bougth it for my l c and its not working",1
"168","The look of it is very sharp and the screen is nice and clear, with great graphics.",1,"the look of it is very sharp and the screen is nice and clear with great graphics",4
"169","doesn't last long.",0,"doesn t last long",0
"170","One thing I hate is the mode set button at the side.",0,"one thing i hate is the mode set button at the side",-1
"171","EXCELLENT SERVICE!!!!!!!!.",1,"excellent service",1
"172","Thank you for wasting my money.",0,"thank you for wasting my money",0
"173","How can that be?The audio quality is poor.",0,"how can that be the audio quality is poor",-1
"174","The iGo chargers and tips are really great.",1,"the igo chargers and tips are really great",1
"175","The file browser offers all the options that one needs.Handsfree is great.",1,"the file browser offers all the options that one needs handsfree is great",1
"176","Superb Phone on a Great Network.",1,"superb phone on a great network",2
"177","I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",1,"i connected my wife s bluetooth motorola hs to my phone and it worked like a charm whether the phone was in my pocket or the case",3
"178","I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0,"i put the latest os on it v g and it now likes to slow to a crawl and lock up every once in a while",0
"179","It only recognizes the Phone as its storage device.",0,"it only recognizes the phone as its storage device",0
"180","If you like a loud buzzing to override all your conversations, then this phone is for you!",0,"if you like a loud buzzing to override all your conversations then this phone is for you",-1
"181","Don't buy this product.",0,"don t buy this product",0
"182","I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.",0,"i ve had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear",1
"183","The sound quality is good and functionality is awesome.",1,"the sound quality is good and functionality is awesome",2
"184","I have this phone and it is a thorn in my side, I really abhor it.",0,"i have this phone and it is a thorn in my side i really abhor it",0
"185","I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.",0,"i recently had problems where i could not stay connected for more than minutes before being disconnected",-1
"186","Incredible!.",1,"incredible",1
"187","Design Flaw?.",0,"design flaw",-1
"188","Great phone!.",1,"great phone",1
"189","Waste of 13 bucks.",0,"waste of bucks",-1
"190","But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",0,"but when i check voice mail at night the keypad backlight turns off a few seconds into the first message and then i m lost",-1
"191","The replacement died in a few weeks.",0,"the replacement died in a few weeks",-1
"192","Any ring tone..Overall good phone to buy..",1,"any ring tone overall good phone to buy",1
"193","Lately they have been extremely nice and helpful on the phone.",1,"lately they have been extremely nice and helpful on the phone",2
"194","I have had problems wit hit dropping signal and more.",0,"i have had problems wit hit dropping signal and more",-1
"195","Not impressed.",0,"not impressed",1
"196","Light weight, I hardly notice it is there.",1,"light weight i hardly notice it is there",0
"197","You'll love how thin it is.",1,"you ll love how thin it is",1
"198","Bad Choice.",0,"bad choice",-1
"199","The pleather case doesn't fit.",0,"the pleather case doesn t fit",0
"200","useless phone, simply deaf.",0,"useless phone simply deaf",-2
"201","The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",1,"the color is even prettier than i thought it would be and the graphics are incredibly sharp",2
"202","All in all I think it was a good investment.",1,"all in all i think it was a good investment",1
"203","It makes very strange ticking noises before it ends the call.",0,"it makes very strange ticking noises before it ends the call",-2
"204","The best electronics of the available FM Transmitters.",1,"the best electronics of the available fm transmitters",2
"205","Battery lasts only a few hours.",0,"battery lasts only a few hours",0
"206","great headset, very impressed - H500.",1,"great headset very impressed h",2
"207","The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",1,"the mega pixel camera being a part of a phone is reasonably good",2
"208","I've had this for nearly 2 years and it has worked great for me.",1,"i ve had this for nearly years and it has worked great for me",2
"209","Good transmit audio.",1,"good transmit audio",1
"210","We are sending it back.",0,"we are sending it back",0
"211","I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.",0,"i did not bother contacting the company for few dollar product but i learned the lesson that i should not have bought this form online anyway",-1
"212","If you hate earbugs, avoid this phone by all means.",0,"if you hate earbugs avoid this phone by all means",-1
"213","Great price also!",1,"great price also",1
"214","The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",1,"the range is very decent i ve been able to roam around my house with the phone in the living room with no reception sound quality issues",0
"215","fast service.",1,"fast service",1
"216","I would highly recommend this.",1,"i would highly recommend this",1
"217","I would recommend this.",1,"i would recommend this",1
"218","I also didn't like the ""on"" button, it felt like it would crack with use.",0,"i also didn t like the on button it felt like it would crack with use",1
"219","WORST PHONE EVER.",0,"worst phone ever",-1
"220","I'm still infatuated with this phone.",1,"i m still infatuated with this phone",0
"221","Freezes frequently4.",0,"freezes frequently",-1
"222","It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.",0,"it s kind of embarrassing to use because of how it looks and mostly it s embarrassing how child like the company is",-1
"223","Simple, lightweight and great fit.",1,"simple lightweight and great fit",1
"224","All in all, I'd expected a better consumer experience from Motorola.",0,"all in all i d expected a better consumer experience from motorola",1
"225","There's a horrible tick sound in the background on all my calls that I have never experienced before.",0,"there s a horrible tick sound in the background on all my calls that i have never experienced before",-1
"226","These are certainly very comfortable and functionality is decent.",1,"these are certainly very comfortable and functionality is decent",2
"227","I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.",1,"i usually don t like headbands but this one is very lightweight doesn t mess up my hair",0
"228","I'm a bit disappointed.",0,"i m a bit disappointed",-1
"229","I have had this phone for over a year now, and I will tell you, its not that great.",0,"i have had this phone for over a year now and i will tell you its not that great",1
"230","I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).",0,"i ordered this for sony ericsson w i but i think it only worked once thats when i first used it",1
"231","The battery is completely useless to me.",0,"the battery is completely useless to me",-1
"232","What a big waste of time.",0,"what a big waste of time",-1
"233","Don't waste your $$$ on this one.",0,"don t waste your on this one",-1
"234","Great sound and service.",1,"great sound and service",1
"235","Really pleased with this product so far.",1,"really pleased with this product so far",1
"236","One of my favorite purchases ever.",1,"one of my favorite purchases ever",1
"237","best bluetooth on the market.",1,"best bluetooth on the market",1
"238","Authentic leather with nice shine and comfort .I recommend you this case !!",1,"authentic leather with nice shine and comfort i recommend you this case",5
"239","I was very excited to get this headset because I thought it was really cute.",1,"i was very excited to get this headset because i thought it was really cute",2
"240","Do not make the same mistake as me.",0,"do not make the same mistake as me",-1
"241","Big Disappointment with calendar sync.",0,"big disappointment with calendar sync",-1
"242","the phone was unusable and was not new.",0,"the phone was unusable and was not new",-1
"243","Worst Customer Service Ever.",0,"worst customer service ever",-1
"244","No additional ear gels provided, and no instructions whatsoever.",0,"no additional ear gels provided and no instructions whatsoever",0
"245","It defeats the purpose of a bluetooth headset.",0,"it defeats the purpose of a bluetooth headset",1
"246","Worth every penny.",1,"worth every penny",1
"247","Excellent wallet type phone case.",1,"excellent wallet type phone case",1
"248","Nice headphones for the price and they work great!",1,"nice headphones for the price and they work great",3
"249","Internet is excrutiatingly slow.",0,"internet is excrutiatingly slow",-1
"250","It is very comfortable to wear as well, which is probably the most important aspect about using a case.",1,"it is very comfortable to wear as well which is probably the most important aspect about using a case",3
"251","It's fits like a glove and is strong, secure, and durable.",1,"it s fits like a glove and is strong secure and durable",4
"252","O my gosh the best phone I have ever had.",1,"o my gosh the best phone i have ever had",1
"253","It's very attractive and appears to be of good quality.",1,"it s very attractive and appears to be of good quality",2
"254","I love all the features and form factor.",1,"i love all the features and form factor",1
"255","This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it",0,"this product had a strong rubber petroleum smell that was unbearable after a while and caused me to return it",-1
"256","poor quality and service.",0,"poor quality and service",-1
"257","The cable looks so thin and flimsy, it is scary.",0,"the cable looks so thin and flimsy it is scary",-2
"258","Great Earpiece.",1,"great earpiece",1
"259","Excellent hands free tool.",1,"excellent hands free tool",2
"260","Great for using with your home stereo.",1,"great for using with your home stereo",1
"261","Good product - incredible value.",1,"good product incredible value",2
"262","Only had this a month but it's worked flawlessly so far.",1,"only had this a month but it s worked flawlessly so far",2
"263","Works great.",1,"works great",2
"264","Absolutel junk.",0,"absolutel junk",-1
"265","THAT one didn't work either.",0,"that one didn t work either",1
"266","Battery life is real good.",1,"battery life is real good",1
"267","Returned 8 hours later.",0,"returned hours later",0
"268","It's a great item.",1,"it s a great item",1
"269","Don't waste your money!.",0,"don t waste your money",-1
"270","Love this headset!",1,"love this headset",1
"271","Not only will it drain your player, but may also potentially fry it.",0,"not only will it drain your player but may also potentially fry it",-1
"272","Worked perfectly!",1,"worked perfectly",2
"273","Unreliable - I'm giving up.",0,"unreliable i m giving up",-1
"274","I gave it 5 stars because of the sound quality.",1,"i gave it stars because of the sound quality",0
"275","Avoid this one if you can.",0,"avoid this one if you can",0
"276","Reversible plug works great.",1,"reversible plug works great",2
"277","I wasted my little money with this earpiece.",0,"i wasted my little money with this earpiece",-1
"278","Very good phone.",1,"very good phone",1
"279","Best of all is the rotating feature, very helpful.",1,"best of all is the rotating feature very helpful",2
"280","Comfort for our whole family.",1,"comfort for our whole family",1
"281","Good product, good seller.",1,"good product good seller",2
"282","I love this bluetooth!",1,"i love this bluetooth",1
"283","First of all, it doesn't wear well.",0,"first of all it doesn t wear well",1
"284","I am very impressed with this headset from Plantronics.",1,"i am very impressed with this headset from plantronics",1
"285","I got it because it was so small and adorable.",1,"i got it because it was so small and adorable",1
"286","Great phone!.",1,"great phone",1
"287","I wouldn't recommend buying this product.",0,"i wouldn t recommend buying this product",1
"288","Piece of Junk.",0,"piece of junk",-1
"289","Poorly contstruct hinge.",0,"poorly contstruct hinge",-1
"290","This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",1,"this item is great installed it let it charged up overnite and it has been working good every since with no problems",1
"291","Great Phone.",1,"great phone",1
"292","Don't buy it.",0,"don t buy it",0
"293","Excellent Phone.",1,"excellent phone",1
"294","DO NOT PURCHASE THIS PHONE.",0,"do not purchase this phone",0
"295","The voice recognition thru the handset is excellent.",1,"the voice recognition thru the handset is excellent",1
"296","This is hands down the best phone I've ever had.",1,"this is hands down the best phone i ve ever had",1
"297","Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1,"works great when my cat attacked the phone he scratched the protective strip instead of destroying the screen",2
"298","This one works and was priced right.",1,"this one works and was priced right",2
"299","Customer service was terrible.",0,"customer service was terrible",-1
"300","Battery life still not long enough in Motorola Razor V3i.",0,"battery life still not long enough in motorola razor v i",1
"301","Sending it back.",0,"sending it back",0
"302","Now I know that I made a wise decision.",1,"now i know that i made a wise decision",1
"303","Someone shouldve invented this sooner.",1,"someone shouldve invented this sooner",0
"304","Good price.",1,"good price",1
"305","Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.",1,"everything worked on the first try the device was certainly engineered in a clever way and the construction feels good",3
"306","I received it quickly and it works great!!",1,"i received it quickly and it works great",2
"307","Has been working great.",1,"has been working great",1
"308","As many people complained, I found this headset's microphone was very weak.",0,"as many people complained i found this headset s microphone was very weak",-2
"309","My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.",0,"my year old nokia from tracfone holds the charge a lot better than this",1
"310","They do not care about the consumer one bit.",0,"they do not care about the consumer one bit",0
"311","This is a good battery, and it got here really fast.",1,"this is a good battery and it got here really fast",2
"312","The instruction manual is lacking.",0,"the instruction manual is lacking",-1
"313","Also its slim enough to fit into my alarm clock docking station without removing the case.",1,"also its slim enough to fit into my alarm clock docking station without removing the case",0
"314","Phone now holds charge like it did when it was new.",1,"phone now holds charge like it did when it was new",1
"315","The battery is unreliable as well as the service use antena.",0,"the battery is unreliable as well as the service use antena",0
"316","It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).",0,"it s uncomfortable and the sound quality is quite poor compared with the phone razr or with my previous wired headset that plugged into an lg",-2
"317","We have gotten a lot of compliments on it.",1,"we have gotten a lot of compliments on it",0
"318","This is definitely a must have if your state does not allow cell phone usage while driving.",1,"this is definitely a must have if your state does not allow cell phone usage while driving",0
"319","I want my money back.",0,"i want my money back",0
"320","I love this device.",1,"i love this device",1
"321","I am also very happy with the price.",1,"i am also very happy with the price",1
"322","I ordered this product first and was unhappy with it immediately.",0,"i ordered this product first and was unhappy with it immediately",-1
"323","The Ngage is still lacking in earbuds.",0,"the ngage is still lacking in earbuds",-1
"324","I was able to do voice dialing in the car with no problem.",1,"i was able to do voice dialing in the car with no problem",-1
"325","I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",0,"i have bars on my cell phone when i am home but you cant not hear anything",0
"326","good item, low price.",1,"good item low price",1
"327","However-the riingtones are not the best, and neither are the games.",0,"however the riingtones are not the best and neither are the games",1
"328","The plug did not work very well.",0,"the plug did not work very well",2
"329","AMAZON SUCKS.",0,"amazon sucks",-1
"330","Rip off---- Over charge shipping.",0,"rip off over charge shipping",-1
"331","VERY comfortable.",1,"very comfortable",1
"332","The battery is working well as a replacement for the original that came with the phone over 2 years ago.",1,"the battery is working well as a replacement for the original that came with the phone over years ago",1
"333","The reception is excellent!",1,"the reception is excellent",1
