"","Comment","Verdict","text","score"
"81","You can't relate with them, hell you barely can understand them.  ",0,"you can t relate with them hell you barely can understand them",-1
"82","This is definitely a cult classic well worth viewing and sharing with others.  ",1,"this is definitely a cult classic well worth viewing and sharing with others",3
"83","This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.  ",0,"this movie is a pure disaster the story is stupid and the editing is the worst i have seen it confuses you incredibly",-2
"84","The fish is badly made and some of its underwater shots are repeated a thousand times in the film.  ",0,"the fish is badly made and some of its underwater shots are repeated a thousand times in the film",-1
"85","A truly, truly bad film.  ",0,"a truly truly bad film",-1
"86","The acting is terrible, and the writing is worse.  ",0,"the acting is terrible and the writing is worse",-2
"87","The only possible way this movie could be redeemed would be as MST3K fodder.  ",0,"the only possible way this movie could be redeemed would be as mst k fodder",0
"88","I paid too much.  ",0,"i paid too much",0
"89","Also, it's a real treat to see Anthony Quinn playing Crazy Horse.  ",1,"also it s a real treat to see anthony quinn playing crazy horse",-1
"90","It was so BORING!  ",0,"it was so boring",-1
"91","No plot whatsoever!  ",0,"no plot whatsoever",-1
"92","Again, no plot at all.  ",0,"again no plot at all",-1
"93","Horrible!  ",0,"horrible",-1
"94","Worst hour and a half of my life!Oh my gosh!  ",0,"worst hour and a half of my life oh my gosh",-1
"95","I had to walk out of the theatre for a few minutes just to get some relief!  ",0,"i had to walk out of the theatre for a few minutes just to get some relief",1
"96","I hate movies like that.  ",0,"i hate movies like that",0
"97","Yeah, the movie pretty much sucked.  ",0,"yeah the movie pretty much sucked",0
"98","THERE IS NO PLOT OR STORYLINE!!  ",0,"there is no plot or storyline",-1
"99","If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.  ",0,"if you do go see this movie bring a pillow or a girlfriend boyfriend to keep you occupied through out",0
"100","Awful.  ",0,"awful",-1
"101","I don't think I've ever gone to a movie and disliked it as much.  ",0,"i don t think i ve ever gone to a movie and disliked it as much",-1
"102","It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.  ",0,"it was a good thing that the tickets only cost five dollars because i would be mad if i d have paid to see this crap",-1
"103","NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).  ",0,"nobody identifies with these characters because they re all cardboard cutouts and stereotypes or predictably reverse stereotypes",0
"104","This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.  ",0,"this is a bad film with bad writing and good actors an ugly cartoon crafted by paul haggis for people who can t handle anything but the bold strokes in storytelling a picture painted with crayons",-2
"105","Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.  ",0,"crash is a depressing little nothing that provokes emotion but teaches you nothing if you already know racism and prejudice are bad things",-5
"106","Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.  ",1,"still i do like this movie for it s empowerment of women there s not enough movies out there like this one",4
"107","Your brain will attempt to shut-down as part of a primal impulse of self-preservation.  ",0,"your brain will attempt to shut down as part of a primal impulse of self preservation",0
"108","I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.  ",0,"i was left shattered from the experience of watching this film and i took a good two hours to fully recover",2
"109","This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  ",0,"this movie now joins revenge of the boogeyman and zombiez as part of the hellish trinity of horror films",-1
"110","I certainly do not mean this distinction in a good way.  ",0,"i certainly do not mean this distinction in a good way",2
"111","I mean this in a terrible way.  ",0,"i mean this in a terrible way",-1
"112","This film has no redeeming features.  ",0,"this film has no redeeming features",1
"113","Everything is appalling.  ",0,"everything is appalling",-1
"114","Artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.  ",0,"artless camera work endlessly presents us with the ugliest setting imaginable i e",0
"115","The story is beyond stupid.  ",0,"the story is beyond stupid",-1
"116","The script is…was there a script?  ",0,"the script is…was there a script",0
"117","The kids are annoying.  ",0,"the kids are annoying",-1
"118","The lead man is charisma-free.  ",0,"the lead man is charisma free",3
"119","Utterly without merit on any level, this is akin to torture.  ",0,"utterly without merit on any level this is akin to torture",-1
"120","I'll even say it again – this is torture.  ",0,"i ll even say it again – this is torture",-1
"121","Maybe there would be a reasonable explanation for this atrocity.  ",0,"maybe there would be a reasonable explanation for this atrocity",0
"122","Not a pleasant voyage of self-discovery.  ",0,"not a pleasant voyage of self discovery",1
"123","Highly unrecommended.  ",0,"highly unrecommended",0
"124","If this premise sound stupid, that's because it is.  ",0,"if this premise sound stupid that s because it is",-1
"125","Yes, it's that bad.  ",0,"yes it s that bad",-1
"126","Nothing at all to recommend.  ",0,"nothing at all to recommend",1
"127","An excellent performance from Ms.  ",1,"an excellent performance from ms",1
"128","Garbo, who showed right off the bat that her talents could carry over from the silent era (I wanted to see some of her silent work, but Netflix doesn't seem to be stocking them.  ",1,"garbo who showed right off the bat that her talents could carry over from the silent era i wanted to see some of her silent work but netflix doesn t seem to be stocking them",5
"129","It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.  ",1,"it s also great to see that renowned silent screenwriter frances marion hasn t missed a step going from silent to sound",3
"130","This movie suffered because of the writing, it needed more suspense.  ",0,"this movie suffered because of the writing it needed more suspense",-1
"131","There were too many close ups.  ",0,"there were too many close ups",0
"132","But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  ",0,"but other than that the movie seemed to drag and the heroes didn t really work for their freedom",1
"133","But this movie is definitely a below average rent.  ",0,"but this movie is definitely a below average rent",0
"134","To those who find this movie intelligent or even masterful, I can only say - it's your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt (it's in our human nature to try and make sense of things) .  ",0,"to those who find this movie intelligent or even masterful i can only say it s your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt it s in our human nature to try and make sense of things",2
"135","One more thing: I can tolerate political incorrectness very well, I'm all for artistic freedom and suspension of disbelief, but the Slavic female character was just too much.  ",0,"one more thing i can tolerate political incorrectness very well i m all for artistic freedom and suspension of disbelief but the slavic female character was just too much",1
"136","This is such a fun and funny movie.  ",1,"this is such a fun and funny movie",0
"137","Highly entertaining at all angles.  ",1,"highly entertaining at all angles",1
"138","It features an outlandish array of memorable, psychotic but lovable nuts.  ",1,"it features an outlandish array of memorable psychotic but lovable nuts",2
"139","So for our enjoyment we get to see them run around, play games, and be dangerous.  ",1,"so for our enjoyment we get to see them run around play games and be dangerous",0
"140","It even has its sweet moments.  ",1,"it even has its sweet moments",1
"141","The telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine.  ",1,"the telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine",-1
"142","All the characters in this film are tremendously well played.  ",1,"all the characters in this film are tremendously well played",2
"143","And I really did find them funny.  ",1,"and i really did find them funny",-1
"144","This is actually a very smart movie.  ",1,"this is actually a very smart movie",1
"145","There is a brilliant twist ending.  ",1,"there is a brilliant twist ending",0
"146","It's just lame.  ",0,"it s just lame",-1
"147","The guy who said he's had better dialogue with his potted plants has it right.  ",0,"the guy who said he s had better dialogue with his potted plants has it right",2
"148","Everything about this movie is stupid.  ",0,"everything about this movie is stupid",-1
"149","Even if you love bad movies, do not watch this movie.  ",0,"even if you love bad movies do not watch this movie",0
"150","It is shameful.  ",0,"it is shameful",-1
"151","I would give this television series a 10 plus if i could.  ",1,"i would give this television series a plus if i could",0
"152","The writers were ""smack on"" and I think the best actors and actresses were a bonus to the show.These characters were so real.  ",1,"the writers were smack on and i think the best actors and actresses were a bonus to the show these characters were so real",1
"153","I must say I have taped most of the episodes and i find myself watching them over and over again.  ",1,"i must say i have taped most of the episodes and i find myself watching them over and over again",0
"154","Now you know why I gave it a 10+!  ",1,"now you know why i gave it a",0
"155","I don't know exactly what it is about this movie, but we latched on to this endearing movie and it has become a special part of our family's memories.  ",1,"i don t know exactly what it is about this movie but we latched on to this endearing movie and it has become a special part of our family s memories",1
"156","I totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is.  ",1,"i totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is",4
"157","The things that the four kids get themselves into is absolutely hilarious to watch.  ",1,"the things that the four kids get themselves into is absolutely hilarious to watch",1
"158","This is one of the best movies out there that shows such strong sibling bond for each other.  ",1,"this is one of the best movies out there that shows such strong sibling bond for each other",2
"159","Much more interesting, more action, more suspense, and less of the unneeded controversy.  ",1,"much more interesting more action more suspense and less of the unneeded controversy",-1
"160","Everything from acting to cinematography was solid.  ",1,"everything from acting to cinematography was solid",1
"161","Definitely worth checking out.  ",1,"definitely worth checking out",1
"162","Damian is so talented and versatile in so many ways of writing and portraying different Characters on screen.  ",1,"damian is so talented and versatile in so many ways of writing and portraying different characters on screen",2
"163","This movie has a cutting edge to it.  ",1,"this movie has a cutting edge to it",0
"164","I am so pleased to know such a modern day genius is out there , letting is passion for Art drive him and taking us as an audience with him.  ",1,"i am so pleased to know such a modern day genius is out there letting is passion for art drive him and taking us as an audience with him",4
"165","The new characters weren't all that memorable, and I found myself forgetting who was who.  ",0,"the new characters weren t all that memorable and i found myself forgetting who was who",1
"166","I felt as though her going to Ireland did absolutely nothing whatsoever.  ",0,"i felt as though her going to ireland did absolutely nothing whatsoever",0
"167","It didn't make me scared, horrified, or make me sympathetic towards the characters; it was simply annoying.  ",0,"it didn t make me scared horrified or make me sympathetic towards the characters it was simply annoying",-3
"168","The jerky camera movements were also annoying.  ",0,"the jerky camera movements were also annoying",-2
"169","The plot was the same as pretty much every other cheap horror.  ",0,"the plot was the same as pretty much every other cheap horror",-1
"170","There was a few pathetic attempts to give the characters some depth, but it didn't really work into the rest of the plot.  ",0,"there was a few pathetic attempts to give the characters some depth but it didn t really work into the rest of the plot",-1
"171","I guess it was supposed to be clever twist, then shed some light on the situation, but it was just stupid.  ",0,"i guess it was supposed to be clever twist then shed some light on the situation but it was just stupid",-1
"172","If you see it, you should probably just leave it on the shelf.  ",0,"if you see it you should probably just leave it on the shelf",0
"173","Elias Koteas,Jack Palance play good roles Angelina is hot and gets naked.Billy Drago appears in this and is cool as usual + a cameo by Sven ole Thorsen helps make this a very enjoyable movie with good acting and a decent budget.  ",1,"elias koteas jack palance play good roles angelina is hot and gets naked billy drago appears in this and is cool as usual a cameo by sven ole thorsen helps make this a very enjoyable movie with good acting and a decent budget",6
"174","This was such an awesome movie that i bought it off of Ebay.  ",1,"this was such an awesome movie that i bought it off of ebay",1
"175","I really loved the story line and the poler bear was kinda cute.But if anyone has a question about Fort Steele, just ask away:)  ",1,"i really loved the story line and the poler bear was kinda cute but if anyone has a question about fort steele just ask away",2
"176","This totally UNfunny movie is so over the top and pathetic and unrealistic that throughout the whole 90 minutes of utter torture I probably looked at my watch about 70000 times!  ",0,"this totally unfunny movie is so over the top and pathetic and unrealistic that throughout the whole minutes of utter torture i probably looked at my watch about times",-2
"177","Lucy Bell is so much higher than this crap and for her to sink this low is quite depressing.  ",0,"lucy bell is so much higher than this crap and for her to sink this low is quite depressing",-3
"178","All this movie does is make you sick watching all these slackers make excuses for their stupid actions for 90 minutes.  ",0,"all this movie does is make you sick watching all these slackers make excuses for their stupid actions for minutes",-3
"179","God, and I can never get that 90 minutes back!  ",0,"god and i can never get that minutes back",0
"180","I think the most wonderful parts (literally, full of ""wonder"") are the excerpts from his works.  ",1,"i think the most wonderful parts literally full of wonder are the excerpts from his works",3
"181","The sets (especially designed to work with the camera) are amazing....stylized, beautiful and effective.  ",1,"the sets especially designed to work with the camera are amazing stylized beautiful and effective",5
"182","They could be used as exemplars for any set designer.  ",1,"they could be used as exemplars for any set designer",0
"183","The stories were powerful explorations of the nature of man and of art.  ",1,"the stories were powerful explorations of the nature of man and of art",1
"184","After watching this film, I wanted to learn more about the works of this artist.  ",1,"after watching this film i wanted to learn more about the works of this artist",1
"185","I highly recommend this movie for anyone interested in art, poetry, theater, politics, or Japanese history.  ",1,"i highly recommend this movie for anyone interested in art poetry theater politics or japanese history",1
"186","Here, in The Wind and the Lion, we see a wonderful rendering of America's own Imperial age.  ",1,"here in the wind and the lion we see a wonderful rendering of america s own imperial age",1
"187",") What makes this story different are the terrific production values - faultless photography, composition and editing - the terrific casting - the underappreciated Brian Keith playing a bully Teddy - and vivid history.  ",1,"what makes this story different are the terrific production values faultless photography composition and editing the terrific casting the underappreciated brian keith playing a bully teddy and vivid history",3
"188","Though The Wind and the Lion is told largely through the eyes of the son, every member of the family can identify with one of the characters, whether it be Sean Connery's noble brigand, Candace Bergen's feisty heroine, John Huston's wily John Hay or Steve Kanaly's spiffy, radiant, ruthless can-do lieutenant, Roosevelt's ""Big Stick"".  ",1,"though the wind and the lion is told largely through the eyes of the son every member of the family can identify with one of the characters whether it be sean connery s noble brigand candace bergen s feisty heroine john huston s wily john hay or steve kanaly s spiffy radiant ruthless can do lieutenant roosevelt s big stick",2
"189","This is high adventure at its best.  ",1,"this is high adventure at its best",1
"190","I think it was Robert Ryans best film, because he portrayed someone like my father, and he was a schizophrenic in real life,(my father) although he never murdered anyone but was affected more so during the second world war which made him worse.  ",1,"i think it was robert ryans best film because he portrayed someone like my father and he was a schizophrenic in real life my father although he never murdered anyone but was affected more so during the second world war which made him worse",1
"191","Having to humour him just to get by and get through the day was so apt.  ",1,"having to humour him just to get by and get through the day was so apt",1
"192","(My mother and brother had to do this)When I saw Robert Ryan portraying this type of man, it was a very good imitation of this type of individual, and I was impressed.  ",1,"my mother and brother had to do this when i saw robert ryan portraying this type of man it was a very good imitation of this type of individual and i was impressed",2
"193","Almost all of the songs in Cover Girl are old-fashioned and not very tuneful.  ",0,"almost all of the songs in cover girl are old fashioned and not very tuneful",0
"194","The most annoying thing about 'Cover Girl' is the way in which Rita Hayworth is put up on a pedestal.  ",0,"the most annoying thing about cover girl is the way in which rita hayworth is put up on a pedestal",-1
"195","Unfortunately, 'Cover Girl' is an example of how Hollywood used to exploit women for financial gain.  ",0,"unfortunately cover girl is an example of how hollywood used to exploit women for financial gain",-1
"196","Non-linear narration thus many flashbacks and every part are articulated quite well.  ",1,"non linear narration thus many flashbacks and every part are articulated quite well",1
"197","The good cinematography also makes her and Monica Bellucci look very beautiful.  ",1,"the good cinematography also makes her and monica bellucci look very beautiful",2
"198","A good commentary of today's love and undoubtedly a film worth seeing.  ",1,"a good commentary of today s love and undoubtedly a film worth seeing",3
"199","For people who are first timers in film making, I think they did an excellent job!!  ",1,"for people who are first timers in film making i think they did an excellent job",1
"200","It was very popular when I was in the cinema, a good house and very good reactions and plenty of laughs.  ",1,"it was very popular when i was in the cinema a good house and very good reactions and plenty of laughs",3
"201","It's a feel-good film and that's how I felt when I came out of the cinema!  ",1,"it s a feel good film and that s how i felt when i came out of the cinema",1
"202","It has northern humour and positive about the community it represents.  ",1,"it has northern humour and positive about the community it represents",2
"203","I rather enjoyed it.  ",1,"i rather enjoyed it",1
"204","I liked it.  ",1,"i liked it",1
"205","I couldn't take them seriously.  ",0,"i couldn t take them seriously",0
"206","It really created a unique feeling though.  ",1,"it really created a unique feeling though",0
"207","Vivian Schilling did an excellent job with the script.  ",1,"vivian schilling did an excellent job with the script",1
"208","A world better than 95% of the garbage in the theatres today.  ",1,"a world better than of the garbage in the theatres today",0
"209","Her role was played well.  ",1,"her role was played well",1
"210","Not too screamy not to masculine but just right.  ",1,"not too screamy not to masculine but just right",1
"211","The camera really likes her in this movie.  ",1,"the camera really likes her in this movie",1
"212","I would have casted her in that role after ready the script.  ",1,"i would have casted her in that role after ready the script",1
"213","As a European, the movie is a nice throwback to my time as a student in the 1980's and the experiences I had living abroad and interacting with other nationalities, although the circumstances were slightly different.  ",1,"as a european the movie is a nice throwback to my time as a student in the s and the experiences i had living abroad and interacting with other nationalities although the circumstances were slightly different",1
"214","I am a fan of his ... This movie sucked really bad.  ",0,"i am a fan of his this movie sucked really bad",-2
"215","Even worse than Ticker!  ",0,"even worse than ticker",-1
"216","& That movie was bad.  ",0,"that movie was bad",-1
"217","Only like 3 or 4 buildings used, a couple of locations MAYBE, & poor hummh!  ",0,"only like or buildings used a couple of locations maybe poor hummh",0
"218","It just blew.  ",0,"it just blew",0
"219","This movie is excellent!Angel is beautiful and Scamp is adorable!His little yelps when hes scared,and the funniest parts are when:Scamp is caught under the curtain and when Angel and Scamp are singing 'Ive Never Had This Feeling Before'.I totally recommend this movie,its coming out on special edition on June 20.The cover has scamp on a garbage can and Angel underneath the lid.  ",1,"this movie is excellent angel is beautiful and scamp is adorable his little yelps when hes scared and the funniest parts are when scamp is caught under the curtain and when angel and scamp are singing ive never had this feeling before i totally recommend this movie its coming out on special edition on june the cover has scamp on a garbage can and angel underneath the lid",5
"220","I just cant explain this movie more than romantic,charming,hilarious,and adorable.The junkyard scenes are funny,all the junkyard dogs have something special.Too funny i laughed,kids will LOVE it.Buy it when it comes out,it has new features!  ",1,"i just cant explain this movie more than romantic charming hilarious and adorable the junkyard scenes are funny all the junkyard dogs have something special too funny i laughed kids will love it buy it when it comes out it has new features",1
"221","Now we were chosen to be tortured with this disgusting piece of blatant American propaganda.  ",0,"now we were chosen to be tortured with this disgusting piece of blatant american propaganda",-4
"222","This show is made for Americans - it is too stupid and full with hatred and clichés to be admitted elsewhere.  ",0,"this show is made for americans it is too stupid and full with hatred and clichés to be admitted elsewhere",-2
"223","Almost everyone involved must be return to school, acting is utterly predictable and bad, script is pile of garbage all round.  ",0,"almost everyone involved must be return to school acting is utterly predictable and bad script is pile of garbage all round",-3
"224","I wish I could enter negative values, admins?  ",0,"i wish i could enter negative values admins",-1
"225","The sets are so bad, they wouldn't look out of place on a Thunderbirds episode.  ",0,"the sets are so bad they wouldn t look out of place on a thunderbirds episode",-1
"226","The use of slow-motion needlessly repeats itself throughout the movie but is well backed up by bad acting (and bad is a kind word here), no continuity, scenes that are thrown in for no reason whatsoever, vehicles that looked like they were made from a Corn Flakes box and a directorial style that bordered on stupidity.  ",0,"the use of slow motion needlessly repeats itself throughout the movie but is well backed up by bad acting and bad is a kind word here no continuity scenes that are thrown in for no reason whatsoever vehicles that looked like they were made from a corn flakes box and a directorial style that bordered on stupidity",-2
"227","Oh yeah, and the storyline was pathetic too.  ",0,"oh yeah and the storyline was pathetic too",-1
"228","I hate writing bad reviews about films - especially those in which I really like the star - but this film is so bad I don't believe for one second that anyone could have been proud of it.  ",0,"i hate writing bad reviews about films especially those in which i really like the star but this film is so bad i don t believe for one second that anyone could have been proud of it",-1
