,Comment,Verdict,MAXENTROPY_LABEL,MAXENTROPY_PROB,SVM_LABEL,SVM_PROB,FORESTS_LABEL,FORESTS_PROB,BAGGING_LABEL,BAGGING_PROB,TREE_LABEL,TREE_PROB
29,)Setup couldn't have been simpler.,1,1,0.99991061,1,0.558937532,0,0.52,0,0.84,0,0.695961995
30,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1,1,0.999987124,1,0.905159842,0,0.535,0,0.68,1,1
31,Gets the job done.,1,0,0.846624758,0,0.642759202,0,0.785,0,0.96,0,0.695961995
32,Great audio!.,1,1,0.999999999,1,0.924170497,1,0.935,1,1,1,0.933333333
33,The accompanied software is almost brilliant.,1,0,0.999972699,0,0.843170865,0,0.83,0,1,0,0.695961995
34,The majority of the Logitech earbud headsets failed.,0,0,0.991416252,0,0.689927189,0,0.77,0,0.96,0,0.695961995
35,Very good stuff for the price.,1,1,1,1,0.980527118,1,0.95,1,1,1,0.925925926
36,What a waste.,0,0,0.999985558,0,0.900254553,0,0.92,0,1,0,0.695961995
37,"After 3 months, screen just went black all of a sudden.",0,0,1,0,0.818146222,0,0.625,0,0.88,0,0.695961995
38,"Nice quality build, unlike some cheap s*** out there.",1,1,0.999993425,1,0.648055657,1,0.62,1,0.96,1,1
39,And I just love the colors!,1,1,0.999999873,1,0.925689359,1,0.81,1,1,1,1
40,"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0,0,1,0,0.975617804,0,0.855,0,0.72,0,0.695961995
41,doesn't last long.,0,0,0.849112887,0,0.801300137,0,0.845,0,0.76,0,0.695961995
42,One thing I hate is the mode set button at the side.,0,0,0.999998817,0,0.84991468,0,0.78,0,1,0,0.695961995
43,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,0,0.999996203,0,0.817922893,0,0.74,0,0.76,0,0.695961995
44,Great phone!.,1,1,1,1,0.935740627,1,1,1,1,1,0.933333333
45,Waste of 13 bucks.,0,0,0.998808167,0,0.789237319,0,0.885,0,1,0,0.695961995
46,Lately they have been extremely nice and helpful on the phone.,1,1,0.999999992,1,0.893826659,1,0.745,1,0.92,1,1
47,"great headset, very impressed - H500.",1,1,1,1,0.979072939,1,0.93,1,1,1,0.933333333
48,I've had this for nearly 2 years and it has worked great for me.,1,1,1,1,0.990334698,1,0.9,1,1,1,0.933333333
49,We are sending it back.,0,0,0.999772832,0,0.781844558,0,0.72,0,1,0,0.695961995
50,I would highly recommend this.,1,1,0.999998564,1,0.901821428,1,0.955,1,1,1,0.866666667
51,"Simple, lightweight and great fit.",1,1,1,1,0.954047401,1,0.925,1,1,1,0.933333333
52,The battery is completely useless to me.,0,0,1,0,0.930975733,0,0.96,0,1,0,0.695961995
53,Don't waste your $$$ on this one.,0,0,0.999992798,0,0.819830072,0,0.85,0,0.96,0,0.695961995
54,Worst Customer Service Ever.,0,0,0.999996013,0,0.938485202,0,0.915,0,1,0,0.695961995
55,"No additional ear gels provided, and no instructions whatsoever.",0,1,0.614655002,0,0.610557085,0,0.645,0,1,0,0.695961995
56,Nice headphones for the price and they work great!,1,1,1,1,0.990087939,1,0.89,1,1,1,0.933333333
57,Great Earpiece.,1,1,0.999999997,1,0.856152859,1,0.905,1,1,1,0.933333333
58,THAT one didn't work either.,0,0,0.999988058,0,0.892556655,0,0.845,0,1,0,0.695961995
59,It's a great item.,1,1,0.99999996,1,0.847653624,1,0.81,1,0.96,1,0.933333333
60,Avoid this one if you can.,0,1,0.998030193,0,0.599960962,0,0.66,0,0.96,0,0.695961995
61,Comfort for our whole family.,1,1,0.997421552,1,0.544449437,0,0.67,0,0.92,0,0.695961995
62,I love this bluetooth!,1,1,0.999999999,1,0.927907747,1,0.92,1,1,1,1
63,Poorly contstruct hinge.,0,0,0.666363886,0,0.695550131,0,0.785,0,1,0,0.695961995
64,Excellent Phone.,1,1,0.999999941,1,0.904441533,1,0.975,1,1,1,1
65,This one works and was priced right.,1,1,1,1,0.907679698,1,0.765,1,1,1,0.952380952
66,Now I know that I made a wise decision.,1,0,0.999999195,0,0.793617393,0,0.77,0,1,0,0.695961995
67,Someone shouldve invented this sooner.,1,0,0.649525012,0,0.589480261,0,0.66,0,0.96,0,0.695961995
68,"As many people complained, I found this headset's microphone was very weak.",0,0,0.900821694,1,0.52170031,1,0.56,1,0.64,1,0.7
69,The instruction manual is lacking.,0,0,0.706401375,0,0.652965978,0,0.825,0,1,0,0.695961995
70,The battery is unreliable as well as the service use antena.,0,1,0.98414141,1,0.521302228,1,0.595,1,0.56,0,0.695961995
71,The Ngage is still lacking in earbuds.,0,0,0.995773098,0,0.794458314,0,0.805,0,1,0,0.695961995
72,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0,0,0.999029528,0,0.902811273,0,0.865,0,0.72,0,0.695961995
73,Obviously there is a problem with the adhesive.,0,1,0.820233456,0,0.56057166,0,0.655,0,0.6,0,0.695961995
74,Reception is terrible and full of static.,0,0,0.975338612,0,0.75680673,0,0.745,0,1,0,0.695961995
75,Excellent starter wireless headset.,0,1,0.999999711,1,0.943751329,1,0.995,1,1,1,1
76,The worst phone I've ever had.... Only had it for a few months.,0,0,1,0,0.959333081,0,0.89,0,0.96,0,0.695961995
77,Protects the phone on all sides.,1,1,0.862405068,0,0.579759723,0,0.575,0,0.96,0,0.695961995
78,This is a VERY average phone with bad battery life that operates on a weak network.,0,0,0.999999948,0,0.542894944,0,0.5,1,0.64,1,0.7
79,Great Hands Free Device.,1,1,1,1,0.974013109,1,0.96,1,1,1,0.933333333
80,"Sounds good reasonably priced and effective, Its that simple !",1,1,1,1,0.974203796,1,0.835,1,1,1,0.925925926
81,I especially love the long battery life.,1,1,0.999999803,1,0.925137368,1,0.765,1,1,1,1
82,An Awesome New Look For Fall 2000!.,1,1,0.999890603,1,0.626247611,1,0.655,1,0.72,0,0.695961995
83,This is the first phone I've had that has been so cheaply made.,0,0,0.999999971,0,0.778132668,0,0.65,0,0.8,0,0.695961995
84,The plastic breaks really easy on this clip.,0,1,0.991304484,1,0.68649746,1,0.795,1,1,1,1
85,Don't make the same mistake I did.,0,0,0.999999996,0,0.944108101,0,0.965,0,0.96,0,0.695961995
86,I'm using it with an iriver SPINN (with case) and it fits fine.,1,1,1,1,0.965452504,1,0.81,1,0.8,1,1
87,My Sanyo has survived dozens of drops on blacktop without ill effect.,1,1,0.82121955,0,0.693330248,0,0.55,0,0.72,0,0.695961995
88,Warning - Stay away.,0,0,0.996770068,0,0.723912738,0,0.855,0,1,0,0.695961995
89,Very happy with this product.,1,1,0.999999191,1,0.911835438,1,0.86,1,1,1,0.7
90,There's really nothing bad I can say about this headset.,0,0,0.712928649,0,0.760853904,0,0.685,0,0.96,0,0.695961995
91,"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",1,0,0.999999701,0,0.624005983,0,0.585,0,0.84,0,0.695961995
92,I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,0,0,0.961949531,0,0.665651766,0,0.725,0,0.64,0,0.695961995
93,Very well made and fits my Surefire GX2 perfectly.,1,1,1,1,0.967657862,1,0.94,1,0.96,1,0.7
94,The battery works great!,1,1,1,1,0.984495817,1,0.94,1,1,1,0.933333333
95,Very disappointed in AccessoryOne.,0,0,0.999994594,0,0.833577025,0,0.675,0,0.92,1,0.7
96,The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1,1,0.999924568,1,0.700012601,0,0.5,0,0.56,0,0.695961995
97,A Disappointment.,0,0,0.9990074,0,0.82287405,0,0.855,0,1,0,0.695961995
98,"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",1,1,1,1,0.999998723,1,0.97,1,1,1,0.933333333
99,Plug was the wrong size.,0,0,0.999997437,0,0.931051795,0,0.88,0,1,0,0.695961995
100,The sound is clear and the people I talk to on it are amazed at the quality too.,1,1,0.901260515,1,0.593049483,1,0.635,1,0.76,0,0.695961995
101,"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",1,1,1,1,0.994487275,1,0.87,1,0.88,1,0.925925926
102,I ended up sliding it on the edge of my pants or back pockets instead.,1,0,0.999412523,0,0.83134395,0,0.895,0,1,0,0.695961995
103,REALLY UGLY.,0,1,0.923351505,0,0.564762465,0,0.63,0,1,0,0.695961995
104,"horrible, had to switch 3 times.",0,0,0.999937716,0,0.823197491,0,0.9,0,0.96,0,0.695961995
105,They refuse to refund or replace.,0,0,0.99828879,0,0.680000414,0,0.695,0,1,0,0.695961995
106,Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0,1,0.828770212,1,0.718391312,1,0.615,1,0.92,1,1
107,none of the new ones have ever quite worked properly.,0,0,0.999807869,0,0.727094953,0,0.545,0,0.8,0,0.695961995
108,I am glad I purchased it.,1,1,0.600082041,0,0.616956075,0,0.75,0,0.88,0,0.695961995
109,Don't buy this product.,0,0,1,0,0.896530619,0,0.925,0,1,0,0.695961995
110,"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",1,0,0.893970274,0,0.713238631,0,0.735,0,1,0,0.88372093
111,"I love the camera, it's really pretty good quality.",1,1,1,1,0.993316876,1,0.935,1,1,1,0.925925926
112,Its a total package.,1,0,0.848602744,0,0.668727137,0,0.76,0,0.96,0,0.695961995
113,Yet Plantronincs continues to use the same flawed charger design.,0,0,0.999999705,0,0.781070811,0,0.765,0,1,0,0.695961995
114,"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",1,0,0.919215096,0,0.793573745,0,0.685,0,0.96,0,0.695961995
115,It does everything the description said it would.,1,0,0.600433893,0,0.636661271,0,0.645,0,0.76,0,0.695961995
116,"It feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them.",0,0,1,0,0.957717581,0,0.805,0,1,0,0.695961995
117,"I only used it two days, and it wasn't always easy to hear with.",0,1,0.98235618,1,0.791435332,1,0.615,1,0.96,1,1
118,Their Research and Development division obviously knows what they're doing.,1,0,0.960958721,0,0.788606995,0,0.645,0,1,0,0.695961995
119,This is infuriating.,0,0,0.649525012,0,0.584682203,0,0.66,0,0.96,0,0.695961995
120,Sprint charges for this service.,0,1,0.87964428,0,0.570635378,0,0.61,0,0.96,0,0.695961995
121,"It is cheap, and it feel and look just as cheap.",0,1,0.99912505,1,0.763462218,1,0.56,0,0.72,0,0.695961995
122,I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1,1,1,1,0.798644059,1,0.655,0,0.92,0,0.695961995
123,the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,0,0,1,0,0.938851243,0,0.72,0,0.96,0,0.695961995
124,Poor product.,0,0,0.999999971,0,0.921217303,0,0.89,0,1,0,0.695961995
125,However I needed some better instructions.,0,1,0.980711281,0,0.541237836,0,0.56,0,0.88,0,0.695961995
126,"Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.",0,1,0.999999976,1,0.860856892,1,0.71,1,0.76,0,0.695961995
127,"Plus, I seriously do not believe it is worth its steep price point.",0,0,0.998738239,0,0.734445004,0,0.65,0,1,0,0.88372093
128,This phone might well be the worst I've ever had in any brand.,0,1,0.999996583,1,0.641549691,1,0.505,0,0.52,0,0.695961995
129,"Not only did the software do a great job of this, I could also make my own ringtones form my existing CDs without an internet connection.",1,0,0.999999998,0,0.808501373,0,0.63,0,0.88,1,0.933333333
130,"However, BT headsets are currently not good for real time games like first-person shooters since the audio delay messes me up.",0,0,0.925679448,1,0.612130466,0,0.53,0,0.76,0,0.88372093
131,Disappointing accessory from a good manufacturer.,0,1,0.999999931,1,0.880397631,1,0.875,1,1,1,0.925925926
132,"Performed awful -- muffled, tinny incoming sound and severe echo for those on the other end of the call.",0,1,0.98728803,0,0.603141474,0,0.58,0,0.8,0,0.695961995
133,"They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.",1,0,1,0,0.957022642,0,0.59,1,0.56,0,0.88372093
134,I'm pleased.,1,1,0.917535254,1,0.539518379,0,0.635,0,1,0,0.695961995
135,Battery is terrible.,0,0,0.999990322,0,0.86869984,0,0.92,0,1,0,0.695961995
136,"The charger arrived within the promised timeframe, but it did not work.",0,0,1,0,0.989123473,0,0.97,0,1,0,0.88372093
137,"No ear loop needed, it's tiny and the sound is great.",1,1,1,1,0.965660308,1,0.82,1,0.96,1,0.933333333
138,This does not fit the Palm Tungsten E2 and it broke the first time I tried to plug it in.,0,0,1,0,0.997543996,0,0.925,0,1,0,0.88372093
139,"A must study for anyone interested in the ""worst sins"" of industrial design.",0,0,0.999987572,0,0.872840897,0,0.79,0,0.76,0,0.695961995
140,i would advise to not purchase this item it never worked very well.,0,0,1,0,0.682874576,0,0.58,0,0.92,0,0.88372093
141,"I have to use the smallest earpieces provided, but it stays on pretty well.",1,1,0.999679465,1,0.708739285,1,0.66,1,0.52,0,0.695961995
142,"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",1,0,0.560500742,0,0.760331079,0,0.755,0,0.92,0,0.88372093
143,Can't store anything but phone numbers to SIM.,0,0,0.999999551,0,0.823587685,0,0.62,0,1,0,0.695961995
144,"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",0,0,1,0,0.954974693,0,0.905,0,1,0,0.88372093
145,"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",1,1,0.999298538,1,0.527885878,0,0.5,0,0.84,0,0.695961995
146,This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,1,1,1,1,0.921455907,1,0.82,1,1,1,0.933333333
147,None of the three sizes they sent with the headset would stay in my ears.,0,0,0.775909,1,0.607447655,0,0.535,0,0.76,0,0.695961995
148,T-Mobile has the best customer service anywhere.,1,1,0.999882309,1,0.647021089,1,0.675,1,1,1,0.933333333
149,I great reception all the time.,1,1,1,1,0.911787628,1,0.875,1,1,1,0.933333333
150,"Couldn't use the unit with sunglasses, not good in Texas!",0,0,0.966413712,1,0.5447532,0,0.535,0,0.92,0,0.88372093
151,"stay away from this store, be careful.",0,0,0.99980727,0,0.693021126,0,0.67,0,0.96,0,0.695961995
152,Does not fit.,0,0,0.999999668,0,0.936736432,0,0.98,0,1,0,0.88372093
153,.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,1,1,1,1,0.999998382,1,0.895,1,1,1,0.933333333
154,Blue Ant is easy to use.,1,1,0.999880878,1,0.760653439,1,0.915,1,1,1,1
155,They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,1,0,0.968126939,1,0.642803531,1,0.505,0,0.88,0,0.695961995
156,"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.",0,0,1,0,0.999249766,0,0.885,0,0.8,0,0.88372093
157,"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",0,0,0.999958608,0,0.780662655,0,0.69,0,0.92,0,0.88372093
158,"Excellent sound, battery life and inconspicuous to boot!.",1,1,0.999999926,1,0.964578283,1,0.895,1,1,1,1
159,I am sorry I made this purchase.,0,0,0.99913096,0,0.687955854,0,0.615,0,0.96,0,0.695961995
160,NOT WHAT I WANTED.,0,0,0.999999998,0,0.975872937,0,0.885,0,0.92,0,0.88372093
161,I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,1,1,0.999999565,1,0.947341557,1,0.84,1,0.96,1,0.7
162,$50 Down the drain.,0,0,0.99988402,0,0.799546321,0,0.875,0,1,0,0.695961995
163,Does Not Work.,0,0,1,0,0.969054821,0,1,0,1,0,0.88372093
164,2 thumbs up to this seller,1,1,0.800382712,0,0.5,0,0.61,0,0.96,0,0.695961995
165,I checked everywhere and there is no feature for it which is really disappointing.,0,1,0.756399896,0,0.626554308,0,0.605,0,0.92,0,0.695961995
166,Product is exactly as described.,1,1,0.715079987,0,0.520206717,0,0.555,0,0.88,0,0.695961995
167,Plan on ordering from them again and again.,1,1,0.999999988,1,0.711498947,0,0.5,0,0.88,0,0.695961995
168,"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",1,1,1,1,0.989473449,1,0.915,1,1,1,0.7
169,I have been very satisfied with this cell phone from day one.,1,1,1,1,0.977535486,1,0.905,1,0.96,1,0.7
170,Awkward to use and unreliable.,0,1,0.713637828,0,0.597773476,1,0.555,0,1,0,0.695961995
171,The shipping time was also very quick!,1,0,0.999798237,0,0.854210727,1,0.54,1,0.6,1,0.7
172,"However, the ear pads come off easily and after only one week I lost one.",0,0,0.999999998,0,0.953084042,0,0.9,0,1,0,0.695961995
173,Very unreliable service from T-mobile !,0,0,0.849999616,1,0.534406769,1,0.74,1,0.72,1,0.7
174,Comfortable in my hand.,1,1,0.999651039,1,0.555419651,0,0.53,0,0.92,0,0.695961995
175,Poor Reliability.,0,0,0.999999111,0,0.92260509,0,0.975,0,1,0,0.695961995
176,I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,1,0,0.73838246,1,0.70670415,1,0.625,1,0.76,1,0.7
177,Good Quality.,1,1,0.999999999,1,0.909427602,1,0.95,1,1,1,0.925925926
178,"The bottowm line...another worthless, cheap gimmick from Sprint.",0,0,0.999281513,0,0.772857045,0,0.8,0,1,0,0.695961995
179,Best headset ever!!!.,1,1,0.999991548,1,0.83317902,1,0.83,1,1,1,0.933333333
180,Don't trust their website and don't expect any helpful support.,0,0,0.999994324,0,0.908801593,0,0.66,0,0.96,0,0.695961995
181,The speaker is of low quality so as making the ring tones sound very cheap.,0,0,0.969305582,1,0.662165937,1,0.68,0,0.68,1,0.7
182,It was quite comfortable in the ear.,1,0,0.988819339,0,0.797247065,0,0.695,0,0.8,0,0.695961995
183,The cutouts and buttons are placed perfectly.,1,1,0.970804867,1,0.554195665,0,0.5,0,0.84,0,0.695961995
184,Not nearly as good looking as the AMAZON picture makes it look.,0,0,1,0,0.900339372,0,0.515,0,0.92,0,0.88372093
185,"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",1,1,0.96802768,0,0.755496517,0,0.82,0,0.76,0,0.695961995
186,Happy so far!.,1,1,0.999999999,1,0.742050388,1,0.61,0,0.8,0,0.695961995
187,It looses connection to the phone even when it is within a couple feet between the two.,0,1,0.996268303,0,0.781166184,0,0.675,0,1,0,0.695961995
188,The headset fulfills my requirements so I am happy with my purchase.,1,1,0.999229761,1,0.744739079,1,0.645,1,0.52,0,0.695961995
189,I have tried these cables with my computer and my iPod and it works just fine.,1,1,1,1,0.992711132,1,0.9,1,1,1,0.952380952
190,It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,1,1,0.999942293,1,0.612035601,0,0.59,1,1,1,1
191,Very much disappointed with this company.,0,0,0.999373745,0,0.5,0,0.535,0,0.8,1,0.7
192,Just reading on the specs alone makes you say WOW.,1,0,0.888545566,0,0.636720502,0,0.66,0,0.68,0,0.695961995
193,"However, the keypads are so tinny that I sometimes reach the wrong buttons.",0,0,0.999999977,0,0.833078101,0,0.825,0,1,0,0.695961995
194,I was very impressed with the price of the cases.,1,1,1,1,0.871531955,1,0.835,1,0.76,1,0.7
195,Also makes it easier to hold on to.,1,0,0.999990084,0,0.812288092,0,0.8,0,1,0,0.695961995
196,"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",0,1,0.995832271,0,0.655896542,0,0.615,1,0.68,0,0.695961995
197,I plugged it in only to find out not a darn thing worked.,0,0,1,0,0.990151085,0,0.905,0,1,0,0.88372093
198,Adapter does not provide enough charging current.,0,0,1,0,0.922362169,0,0.98,0,1,0,0.88372093
199,What a piece of junk.. I lose more calls on this phone.,0,0,1,0,0.987549672,0,0.845,0,0.92,0,0.695961995
200,"You can not answer calls with the unit, never worked once!",0,0,1,0,0.970771927,0,0.88,0,0.8,0,0.88372093
