,text,emotion,polarity,"yelp_revdf[, 2]",,
116,check it out,unknown,positive,1,,
117,it was pretty gross,unknown,neutral,0,,
118,i ve had better atmosphere,unknown,positive,0,,
119,kind of hard to mess up a steak but they did,joy,negative,0,,
120,although i very much liked the look and sound of this place the actual experience was a bit disappointing,unknown,negative,0,,
121,i just don t know how this place managed to served the blandest food i have ever eaten when they are preparing indian cuisine,unknown,positive,0,,
122,worst service to boot but that is the least of their worries,unknown,negative,0,,
123,service was fine and the waitress was friendly,joy,positive,1,,
124,the guys all had steaks and our steak loving son who has had steak at the best and worst places said it was the best steak he s ever eaten,joy,neutral,1,,
125,we thought you d have to venture further away to get good sushi but this place really hit the spot that night,joy,negative,1,,
126,host staff were for lack of a better word bitches,unknown,neutral,0,,
127,bland not a liking this place for a number of reasons and i don t want to waste time on bad reviewing i ll leave it at that,joy,negative,0,,
128,phenomenal food service and ambiance,unknown,positive,1,,
129,i wouldn t return,unknown,positive,0,,
130,definitely worth venturing off the strip for the pork belly will return next time i m in vegas,unknown,positive,1,,
131,this place is way too overpriced for mediocre food,unknown,negative,0,,
132,penne vodka excellent,unknown,positive,1,,
133,they have a good selection of food including a massive meatloaf sandwich a crispy chicken wrap a delish tuna melt and some tasty burgers,joy,positive,1,,
134,the management is rude,unknown,negative,0,,
135,delicious nyc bagels good selections of cream cheese real lox with capers even,joy,positive,1,,
136,great subway in fact it s so good when you come here every other subway will not meet your expectations,joy,positive,1,,
137,i had a seriously solid breakfast here,unknown,negative,1,,
138,this is one of the best bars with food in vegas,unknown,positive,1,,
139,he was extremely rude and really there are so many other restaurants i would love to dine at during a weekend in vegas,joy,negative,0,,
140,my drink was never empty and he made some really great menu suggestions,joy,neutral,1,,
141,don t do it,unknown,positive,0,,
142,the waiter wasn t helpful or friendly and rarely checked on us,joy,positive,0,,
143,my husband and i ate lunch here and were very disappointed with the food and service,unknown,negative,0,,
144,and the red curry had so much bamboo shoots and wasn t very tasty to me,unknown,positive,0,,
145,nice blanket of moz over top but i feel like this was done to cover up the subpar food,joy,positive,1,,
146,the bathrooms are clean and the place itself is well decorated,unknown,positive,1,,
147,the menu is always changing food quality is going down service is extremely slow,unknown,negative,0,,
148,the service was a little slow considering that were served by people servers so the food was coming in a slow pace,unknown,negative,0,,
149,i give it thumbs down,unknown,negative,0,,
150,we watched our waiter pay a lot more attention to other tables and ignore us,unknown,negative,0,,
151,my fiancé and i came in the middle of the day and we were greeted and seated right away,unknown,positive,1,,
152,this is a great restaurant at the mandalay bay,joy,positive,1,,
153,we waited for forty five minutes in vain,unknown,negative,0,,
154,crostini that came with the salad was stale,unknown,negative,0,,
155,some highlights great quality nigiri here,joy,positive,1,,
156,the staff is friendly and the joint is always clean,joy,positive,1,,
157,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored,joy,positive,1,,
158,i ordered the voodoo pasta and it was the first time i d had really excellent pasta since going gluten free several years ago,unknown,positive,1,,
159,this place is good,joy,positive,1,,
160,unfortunately we must have hit the bakery on leftover day because everything we ordered was stale,unknown,negative,0,,
161,i came back today since they relocated and still not impressed,unknown,positive,0,,
162,i was seated immediately,unknown,positive,1,,
163,their menu is diverse and reasonably priced,unknown,positive,1,,
164,avoid at all cost,unknown,negative,0,,
165,restaurant is always full but never a wait,unknown,positive,1,,
166,delicious,unknown,positive,1,,
167,this place is hands down one of the best places to eat in the phoenix metro area,unknown,positive,1,,
168,so don t go there if you are looking for good food,joy,positive,0,,
169,i ve never been treated so bad,sadness,negative,0,,
170,bacon is hella salty,unknown,positive,1,,
171,we also ordered the spinach and avocado salad the ingredients were sad and the dressing literally had zero taste,joy,negative,0,,
172,this really is how vegas fine dining used to be right down to the menus handed to the ladies that have no prices listed,unknown,positive,1,,
173,the waitresses are very friendly,joy,positive,1,,
174,lordy the khao soi is a dish that is not to be missed for curry lovers,unknown,positive,1,,
175,everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter,surprise,positive,1,,
176,perhaps i caught them on an off night judging by the other reviews but i m not inspired to go back,unknown,positive,0,,
177,the service here leaves a lot to be desired,unknown,positive,0,,
178,the atmosphere is modern and hip while maintaining a touch of coziness,unknown,negative,1,,
179,not a weekly haunt but definitely a place to come back to every once in a while,unknown,neutral,1,,
180,we literally sat there for minutes with no one asking to take our order,unknown,positive,0,,
181,the burger had absolutely no flavor the meat itself was totally bland the burger was overcooked and there was no charcoal flavor,unknown,negative,0,,
182,i also decided not to send it back because our waitress looked like she was on the verge of having a heart attack,joy,positive,0,,
183,i dressed up to be treated so rudely,unknown,positive,0,,
184,it was probably dirt,unknown,negative,0,,
185,love this place hits the spot when i want something healthy but not lacking in quantity or flavor,joy,neutral,1,,
186,i ordered the lemon raspberry ice cocktail which was also incredible,unknown,positive,1,,
187,the food sucked which we expected but it sucked more than we could have imagined,unknown,positive,0,,
188,interesting decor,unknown,positive,1,,
189,what i really like there is the crepe station,joy,positive,1,,
190,also were served hot bread and butter and home made potato chips with bacon bits on top very original and very good,joy,positive,1,,
191,you can watch them preparing the delicious food,unknown,neutral,1,,
192,both of the egg rolls were fantastic,surprise,positive,1,,
193,when my order arrived one of the gyros was missing,unknown,positive,0,,
194,i had a salad with the wings and some ice cream for dessert and left feeling quite satisfied,joy,negative,1,,
195,i m not really sure how joey s was voted best hot dog in the valley by readers of phoenix magazine,unknown,positive,0,,
196,the best place to go for a tasty bowl of pho,unknown,positive,1,,
197,the live music on fridays totally blows,joy,positive,0,,
198,i ve never been more insulted or felt disrespected,unknown,negative,0,,
199,very friendly staff,joy,positive,1,,
200,it is worth the drive,unknown,positive,1,,
201,i had heard good things about this place but it exceeding every hope i could have dreamed of,joy,positive,1,,
202,food was great and so was the serivce,joy,positive,1,,
203,the warm beer didn t help,joy,positive,0,,
204,great brunch spot,joy,neutral,1,,
205,service is friendly and inviting,joy,positive,1,,
206,very good lunch spot,joy,neutral,1,,
207,i ve lived here since and this was the first and last time i ve stepped foot into this place,unknown,negative,0,,
208,the worst experience ever,unknown,neutral,0,,
209,must have been an off night at this place,unknown,positive,0,,
210,the sides are delish mixed mushrooms yukon gold puree white corn beateous,unknown,positive,1,,
211,if that bug never showed up i would have given a for sure but on the other side of the wall where this bug was climbing was the kitchen,joy,negative,0,,
212,for about minutes we we re waiting for her salad when we realized that it wasn t coming any time soon,unknown,positive,0,,
213,my friend loved the salmon tartar,joy,positive,1,,
214,won t go back,unknown,positive,0,,
215,extremely tasty,unknown,negative,1,,
216,waitress was good though,joy,positive,1,,
217,soggy and not good,joy,positive,0,,
218,the jamaican mojitos are delicious,unknown,positive,1,,
219,which are small and not worth the price,unknown,positive,0,,
220,,unknown,positive,1,,
221,the shower area is outside so you can only rinse not take a full shower unless you don t mind being nude for everyone to see,unknown,negative,0,,
222,the service was a bit lacking,unknown,negative,0,,
223,lobster bisque bussell sprouts risotto filet all needed salt and pepper and of course there is none at the tables,unknown,negative,0,,
224,hopefully this bodes for them going out of business and someone who can cook can come in,unknown,positive,0,,
225,it was either too cold not enough flavor or just bad,sadness,negative,0,,
226,i loved the bacon wrapped dates,unknown,positive,1,,
227,this is an unbelievable bargain,unknown,neutral,1,,
228,the folks at otto always make us feel so welcome and special,unknown,positive,1,,
229,as for the mains also uninspired,unknown,positive,0,,
230,this is the place where i first had pho and it was amazing,surprise,positive,1,,
231,this wonderful experience made this place a must stop whenever we are in town again,surprise,positive,1,,
232,if the food isn t bad enough for you then enjoy dealing with the world s worst annoying drunk people,anger,negative,0,,
233,very very fun chef,unknown,negative,1,,
234,ordered a double cheeseburger got a single patty that was falling apart picture uploaded yeah still sucks,unknown,positive,0,,
235,great place to have a couple drinks and watch any and all sporting events as the walls are covered with tv s,joy,neutral,1,,
236,if it were possible to give them zero stars they d have it,unknown,positive,0,,
237,the descriptions said yum yum sauce and another said eel sauce yet another said spicy mayo well none of the rolls had sauces on them,unknown,neutral,0,,
238,i d say that would be the hardest decision honestly all of m s dishes taste how they are supposed to taste amazing,joy,positive,1,,
239,if she had not rolled the eyes we may have stayed not sure if we will go back and try it again,unknown,positive,0,,
240,everyone is very attentive providing excellent customer service,unknown,positive,1,,
241,horrible don t waste your time and money,fear,negative,0,,
242,now this dish was quite flavourful,unknown,positive,1,,
243,by this time our side of the restaurant was almost empty so there was no excuse,unknown,negative,0,,
244,it wasn t busy either also the building was freezing cold,unknown,negative,0,,
245,like the other reviewer said you couldn t pay me to eat at this place again,joy,neutral,0,,
246,drinks took close to minutes to come out at one point,joy,negative,0,,
247,seriously flavorful delights folks,unknown,negative,1,,
248,much better than the other ayce sushi place i went to in vegas,unknown,positive,1,,
249,the lighting is just dark enough to set the mood,sadness,negative,1,,
250,based on the sub par service i received and no effort to show their gratitude for my business i won t be going back,unknown,neutral,0,,
251,owner s are really great people,joy,positive,1,,
252,there is nothing privileged about working eating there,unknown,positive,0,,
253,the greek dressing was very creamy and flavorful,unknown,positive,1,,
254,overall i don t think that i would take my parents to this place again because they made most of the similar complaints that i silently felt too,unknown,neutral,0,,
255,now the pizza itself was good the peanut sauce was very tasty,joy,positive,1,,
256,we had at our table and the service was pretty fast,unknown,positive,1,,
257,fantastic service here,surprise,positive,1,,
258,i as well would ve given godfathers zero stars if possible,unknown,positive,0,,
259,they know how to make them here,unknown,positive,1,,
260,very tough and very short on flavor,unknown,negative,0,,
261,i hope this place sticks around,unknown,positive,1,,
262,i have been in more than a few bars in vegas and do not ever recall being charged for tap water,unknown,positive,0,,
263,the restaurant atmosphere was exquisite,unknown,positive,1,,
264,good service very clean and inexpensive to boot,joy,positive,1,,
265,the seafood was fresh and generous in portion,unknown,positive,1,,
266,plus it s only bucks,unknown,positive,1,,
267,the service was not up to par either,unknown,positive,0,,
268,thus far have only visited twice and the food was absolutely delicious each time,unknown,positive,1,,
269,just as good as when i had it more than a year ago,joy,positive,1,,
270,for a self proclaimed coffee cafe i was wildly disappointed,unknown,negative,0,,
271,the veggitarian platter is out of this world,unknown,positive,1,,
272,you cant go wrong with any of the food here,unknown,negative,1,,
273,you can t beat that,surprise,positive,1,,
274,stopped by this place while in madison for the ironman very friendly kind staff,joy,positive,1,,
275,the chefs were friendly and did a good job,joy,neutral,1,,
276,i ve had better not only from dedicated boba tea spots but even from jenni pho,unknown,positive,0,,
277,i liked the patio and the service was outstanding,unknown,positive,1,,
278,the goat taco didn t skimp on the meat and wow what flavor,unknown,neutral,1,,
279,i think not again,unknown,positive,0,,
280,i had the mac salad and it was pretty bland so i will not be getting that again,unknown,negative,0,,
281,i went to bachi burger on a friend s recommendation and was not disappointed,joy,neutral,1,,
282,service stinks here,unknown,positive,0,,
283,i waited and waited,unknown,positive,0,,
284,this place is not quality sushi it is not a quality restaurant,unknown,positive,0,,
285,i would definitely recommend the wings as well as the pizza,unknown,positive,1,,
286,great pizza and salads,joy,positive,1,,
287,things that went wrong they burned the saganaki,unknown,negative,0,,
288,we waited an hour for what was a breakfast i could have done times better at home,unknown,positive,0,,
289,this place is amazing,surprise,positive,1,,
290,i hate to disagree with my fellow yelpers but my husband and i were so disappointed with this place,anger,negative,0,,
291,waited hours never got either of our pizzas as many other around us who came in later did,unknown,positive,0,,
292,just don t know why they were so slow,unknown,positive,0,,
293,the staff is great the food is delish and they have an incredible beer selection,joy,positive,1,,
294,i live in the neighborhood so i am disappointed i won t be back here because it is a convenient location,joy,positive,0,,
295,i didn t know pulled pork could be soooo delicious,unknown,positive,1,,
296,you get incredibly fresh fish prepared with care,joy,positive,1,,
297,before i go in to why i gave a star rating please know that this was my third time eating at bachi burger before writing a review,joy,positive,0,,
298,i love the fact that everything on their menu is worth it,joy,positive,1,,
299,never again will i be dining at this place,unknown,positive,0,,
300,the food was excellent and service was very good,joy,positive,1,,
301,good beer drink selection and good food selection,joy,positive,1,,
302,please stay away from the shrimp stir fried noodles,joy,positive,0,,
303,the potato chip order was sad i could probably count how many chips were in that box and it was probably around,sadness,negative,0,,
304,food was really boring,unknown,negative,0,,
305,good service check,joy,positive,1,,
306,this greedy corporation will never see another dime from me,anger,neutral,0,,
307,will never ever go back,unknown,positive,0,,
308,as much as i d like to go back i can t get passed the atrocious service and will never return,fear,neutral,0,,
309,in the summer you can dine in a charming outdoor patio so very delightful,unknown,positive,1,,
310,i did not expect this to be so good,joy,positive,1,,
311,fantastic food,surprise,positive,1,,
312,she ordered a toasted english muffin that came out untoasted,unknown,positive,0,,
313,the food was very good,joy,positive,1,,
314,never going back,unknown,positive,0,,
315,great food for the price which is very high quality and house made,anger,positive,1,,
316,the bus boy on the other hand was so rude,unknown,negative,0,,
317,by this point my friends and i had basically figured out this place was a joke and didn t mind making it publicly and loudly known,unknown,neutral,0,,
318,back to good bbq lighter fare reasonable pricing and tell the public they are back to the old ways,joy,positive,1,,
319,and considering the two of us left there very full and happy for about you just can t go wrong,joy,neutral,1,,
320,all the bread is made in house,unknown,positive,1,,
321,the only downside is the service,unknown,negative,0,,
322,also the fries are without a doubt the worst fries i ve ever had,unknown,negative,0,,
323,service was exceptional and food was a good as all the reviews,joy,positive,1,,
324,a couple of months later i returned and had an amazing meal,surprise,positive,1,,
325,favorite place in town for shawarrrrrrma,unknown,positive,1,,
326,the black eyed peas and sweet potatoes unreal,unknown,negative,1,,
327,you won t be disappointed,unknown,negative,1,,
328,they could serve it with just the vinaigrette and it may make for a better overall dish but it was still very good,joy,positive,1,,
329,i go to far too many places and i ve never seen any restaurant that serves a egg breakfast especially for,unknown,positive,0,,
330,when my mom and i got home she immediately got sick and she only had a few bites of salad,disgust,neutral,0,,
331,the servers are not pleasant to deal with and they don t always honor pizza hut coupons,unknown,positive,0,,
332,both of them were truly unbelievably good and i am so glad we went back,joy,positive,1,,
333,we had fantastic service and were pleased by the atmosphere,joy,positive,1,,
334,everything was gross,unknown,negative,0,,
335,i love this place,joy,positive,1,,
336,great service and food,joy,positive,1,,
337,first the bathrooms at this location were dirty seat covers were not replenished just plain yucky,disgust,neutral,0,,
338,the burger i got the gold standard a burger and was kind of disappointed,joy,neutral,0,,
339,omg the food was delicioso,unknown,positive,1,,
340,there is nothing authentic about this place,unknown,positive,0,,
341,the spaghetti is nothing special whatsoever,unknown,positive,0,,
342,of all the dishes the salmon was the best but all were great,joy,positive,1,,
343,the vegetables are so fresh and the sauce feels like authentic thai,joy,positive,1,,
344,it s worth driving up from tucson,unknown,positive,1,,
345,the selection was probably the worst i ve seen in vegas there was none,unknown,negative,0,,
346,pretty good beer selection too,joy,positive,1,,
347,this place is like chipotle but better,joy,positive,1,,
348,classy warm atmosphere fun and fresh appetizers succulent steaks baseball steak,joy,neutral,1,,
349,stars for the brick oven bread app,unknown,positive,1,,
350,i have eaten here multiple times and each time the food was delicious,unknown,positive,1,,
351,we sat another ten minutes and finally gave up and left,unknown,negative,0,,
352,he was terrible,fear,negative,0,,
353,everyone is treated equally special,unknown,positive,1,,
354,it shouldn t take min for pancakes and eggs,unknown,positive,0,,
355,it was delicious,unknown,positive,1,,
356,on the good side the staff was genuinely pleasant and enthusiastic a real treat,joy,positive,1,,
357,sadly gordon ramsey s steak is a place we shall sharply avoid during our next trip to vegas,sadness,negative,0,,
358,as always the evening was wonderful and the food delicious,surprise,positive,1,,
359,best fish i ve ever had in my life,unknown,positive,1,,
360,the bathroom is just next door and very nice,unknown,positive,1,,
361,the buffet is small and all the food they offered was bland,unknown,negative,0,,
362,this is an outstanding little restaurant with some of the best food i have ever tasted,unknown,positive,1,,
363,pretty cool i would say,unknown,positive,1,,
364,definitely a turn off for me i doubt i ll be back unless someone else is buying,disgust,neutral,0,,
365,server did a great job handling our large rowdy table,joy,neutral,1,,
366,i find wasting food to be despicable but this just wasn t food,unknown,neutral,0,,
367,my wife had the lobster bisque soup which was lukewarm,unknown,negative,0,,
368,would come back again if i had a sushi craving while in vegas,unknown,positive,1,,
369,the staff are great the ambiance is great,joy,positive,1,,
370,he deserves stars,unknown,positive,1,,
371,i left with a stomach ache and felt sick the rest of the day,disgust,negative,0,,
372,they dropped more than the ball,unknown,positive,0,,
373,the dining space is tiny but elegantly decorated and comfortable,joy,neutral,1,,
374,they will customize your order any way you d like my usual is eggplant with green bean stir fry love it,joy,positive,1,,
375,and the beans and rice were mediocre at best,unknown,neutral,0,,
376,best tacos in town by far,unknown,positive,1,,
377,i took back my money and got outta there,unknown,positive,0,,
378,in an interesting part of town this place is amazing,surprise,positive,1,,
379,rude inconsiderate management,unknown,negative,0,,
380,the staff are now not as friendly the wait times for being served are horrible no one even says hi for the first minutes,fear,neutral,0,,
381,i won t be back,unknown,positive,0,,
382,they have great dinners,joy,positive,1,,
383,the service was outshining i definitely recommend the halibut,unknown,positive,1,,
384,the food was terrible,fear,negative,0,,
385,will never ever go back and have told many people what had happened,unknown,positive,0,,
386,i don t recommend unless your car breaks down in front of it and you are starving,unknown,positive,0,,
387,i will come back here every time i m in vegas,unknown,positive,1,,
388,this place deserves one star and has to do with the food,unknown,positive,0,,
389,this is a disgrace,unknown,negative,0,,
390,def coming back to bowl next time,unknown,positive,1,,
391,if you want healthy authentic or ethic food try this place,unknown,positive,1,,
392,i will continue to come here on ladies night andddd date night highly recommend this place to anyone who is in the area,unknown,positive,1,,
393,i have been here several times in the past and the experience has always been great,joy,positive,1,,
394,we walked away stuffed and happy about our first vegas buffet experience,joy,positive,1,,
395,service was excellent and prices are pretty reasonable considering this is vegas and located inside the crystals shopping mall by aria,unknown,positive,1,,
396,to summarize the food was incredible nay transcendant but nothing brings me joy quite like the memory of the pneumatic condiment dispenser,joy,positive,1,,
397,i m probably one of the few people to ever go to ians and not like it,joy,positive,0,,
398,kids pizza is always a hit too with lots of great side dish options for the kiddos,joy,positive,1,,
399,service is perfect and the family atmosphere is nice to see,unknown,positive,1,,
400,cooked to perfection and the service was impeccable,unknown,positive,1,,
401,this one is simply a disappointment,unknown,negative,0,,
402,overall i was very disappointed with the quality of food at bouchon,unknown,negative,0,,
403,i don t have to be an accountant to know i m getting screwed,unknown,positive,0,,
404,great place to eat reminds me of the little mom and pop shops in the san francisco bay area,joy,neutral,1,,
405,today was my first taste of a buldogis gourmet hot dog and i have to tell you it was more than i ever thought possible,joy,positive,1,,
406,left very frustrated,anger,negative,0,,
407,i ll definitely be in soon again,unknown,positive,1,,
408,food was really good and i got full petty fast,joy,negative,1,,
409,service was fantastic,surprise,positive,1,,
410,total waste of time,unknown,negative,0,,
411,i don t know what kind it is but they have the best iced tea,joy,positive,1,,
412,come hungry leave happy and stuffed,joy,neutral,1,,
413,for service i give them no stars,unknown,positive,0,,
414,i can assure you that you won t be disappointed,unknown,neutral,1,,
415,i can take a little bad service but the food sucks,sadness,negative,0,,
416,gave up trying to eat any of the crust teeth still sore,anger,negative,0,,
417,but now i was completely grossed out,unknown,positive,0,,
418,i really enjoyed eating here,unknown,positive,1,,
419,first time going but i think i will quickly become a regular,unknown,positive,1,,
420,our server was very nice and even though he looked a little overwhelmed with all of our needs he stayed professional and friendly until the end,joy,positive,1,,
421,from what my dinner companions told me everything was very fresh with nice texture and taste,joy,positive,1,,
422,on the ground right next to our table was a large smeared been stepped in and tracked everywhere pile of green bird poop,unknown,positive,0,,
423,furthermore you can t even find hours of operation on the website,unknown,positive,0,,
424,we ve tried to like this place but after times i think we re done with them,joy,positive,0,,
425,what a mistake that was,unknown,negative,0,,
426,no complaints,unknown,negative,1,,
427,this is some seriously good pizza and i m an expert connisseur on the topic,joy,neutral,1,,
428,waiter was a jerk,unknown,negative,0,,
429,strike who wants to be rushed,joy,negative,0,,
430,these are the nicest restaurant owners i ve ever come across,unknown,positive,1,,
431,i never come again,unknown,positive,0,,
432,we loved the biscuits,unknown,positive,1,,
433,service is quick and friendly,joy,positive,1,,
434,ordered an appetizer and took minutes and then the pizza another minutes,unknown,positive,0,,
435,so absolutley fantastic,surprise,positive,1,,
436,it was a huge awkward lb piece of cow that was ths gristle and fat,fear,negative,0,,
437,definitely will come back here again,unknown,positive,1,,
438,i like steiners because it s dark and it feels like a bar,joy,negative,1,,
439,wow very spicy but delicious,unknown,positive,1,,
440,if you re not familiar check it out,unknown,positive,1,,
441,i ll take my business dinner dollars elsewhere,unknown,positive,0,,
442,i d love to go back,joy,positive,1,,
443,anyway this fs restaurant has a wonderful breakfast lunch,surprise,positive,1,,
444,nothing special,unknown,positive,0,,
445,each day of the week they have a different deal and it s all so delicious,unknown,positive,1,,
446,not to mention the combination of pears almonds and bacon is a big winner,unknown,positive,1,,
447,will not be back,unknown,positive,0,,
448,sauce was tasteless,unknown,positive,0,,
449,the food is delicious and just spicy enough so be sure to ask for spicier if you prefer it that way,joy,neutral,1,,
450,my ribeye steak was cooked perfectly and had great mesquite flavor,joy,positive,1,,
451,i don t think we ll be going back anytime soon,unknown,positive,0,,
452,food was so gooodd,unknown,positive,1,,
