,text,emotion,polarity,"amazon_revdf[, 2]",,
43,nice headset priced right,unknown,positive,1,,
44,i only hear garbage for audio,unknown,negative,0,,
45,excellent bluetooth headset,unknown,positive,1,,
46,it has all the features i want,unknown,positive,1,,
47,who in their right mind is gonna buy this battery,unknown,neutral,0,,
48,after arguing with verizon regarding the dropped calls we returned the phones after two days,unknown,positive,0,,
49,this case seems well made,unknown,positive,1,,
50,disappointed with battery,unknown,negative,0,,
51,not loud enough and doesn t turn on like it should,disgust,positive,0,,
52,good protection and does not make phone too bulky,joy,neutral,1,,
53,a usable keyboard actually turns a pda into a real world useful machine instead of just a neat gadget,unknown,positive,1,,
54,this phone is pretty sturdy and i ve never had any large problems with it,unknown,positive,1,,
55,i love this thing,joy,positive,1,,
56,everything about it is fine and reasonable for the price i e,unknown,positive,1,,
57,very disappointed,unknown,negative,0,,
58,i even dropped this phone into a stream and it was submerged for seconds and it still works great,joy,positive,1,,
59,i have been very happy with the and have had no complaints from any one regarding my sound quality on their end,joy,neutral,1,,
60,the buttons for on and off are bad,sadness,negative,0,,
61,essentially you can forget microsoft s tech support,unknown,neutral,0,,
62,i really recommend this faceplates since it looks very nice elegant and cool,unknown,positive,1,,
63,these headphones were a great find and i think they are perhaps the best purchase i ve made in the last several years seriously,joy,neutral,1,,
64,buy a different phone but not this,unknown,positive,0,,
65,you have to hold the phone at a particular angle for the other party to hear you clearly,unknown,positive,0,,
66,the one big drawback of the mp player is that the buttons on the phone s front cover that let you pause and skip songs lock out after a few seconds,unknown,positive,0,,
67,a week later after i activated it it suddenly died,unknown,positive,0,,
68,it feels more comfortable than most headsets because i wear glasses and that gets in the way sometimes,joy,negative,1,,
69,great for ipods too,joy,positive,1,,
70,this device is great in several situations,joy,positive,1,,
71,mic doesn t work,unknown,positive,0,,
72,even in my bmw series which is fairly quiet i have trouble hearing what the other person is saying,unknown,neutral,0,,
73,great choice,joy,positive,1,,
74,nice docking station for home or work,unknown,positive,1,,
75,this is a beautiful phone,unknown,positive,1,,
76,love this product,joy,positive,1,,
77,do not buy for d wrongly advertised for d,unknown,negative,0,,
78,this is a great little item,joy,neutral,1,,
79,i love this phone it is very handy and has a lot of features,joy,positive,1,,
80,i purchased this and within days it was no longer working,unknown,positive,0,,
81,i wear it everyday and it holds up very well,unknown,positive,1,,
82,not a good bargain,joy,positive,0,,
83,well packaged arrived on time and works as intended,unknown,positive,1,,
84,the battery runs down quickly,unknown,positive,0,,
85,this item worked great but it broke after months of use,joy,neutral,0,,
86,the headsets are easy to use and everyone loves them,unknown,positive,1,,
87,this phone works great,joy,positive,1,,
88,the construction of the headsets is poor,sadness,negative,0,,
89,product was excellent and works better than the verizon one and boy was it cheaper,unknown,positive,1,,
90,the phone loads super,unknown,positive,1,,
91,for a product that costs as much as this one does i expect it to work far better and with greater ease than this thing does,joy,positive,0,,
92,made very sturdy,unknown,positive,1,,
93,worked great,joy,positive,1,,
94,the ear buds only play music in one ear,unknown,positive,0,,
95,dont waste your money,unknown,negative,0,,
96,will order from them again,unknown,positive,1,,
97,if you plan to use this in a car forget about it,unknown,negative,0,,
98,i found this product to be waaay too big,unknown,positive,0,,
99,best i ve found so far i ve tried other bluetooths and this one has the best quality for both me and the listener as well as ease of using,unknown,positive,1,,
100,i m very disappointed with my decision,unknown,negative,0,,
101,integrated seamlessly with the motorola razr phone,unknown,positive,1,,
102,buyer beware you could flush money right down the toilet,joy,neutral,0,,
103,definitely a bargain,unknown,positive,1,,
104,the price was very good and with the free shipping and all it was a good purchase,joy,positive,1,,
105,i received my supposedly new motorola and apparently there was not a match between the phone and the charger,unknown,positive,0,,
106,pros good camera very nice pictures also has cool styles like black and white and more,joy,positive,1,,
107,that s a huge design flaw unless i m not using it correctly which i don t think is the case,unknown,positive,0,,
108,i love my headset my jabra bluetooth headset is great the reception is very good and the ear piece is a comfortable fit,joy,positive,1,,
109,the camera although rated at an impressive megapixels renders images that fall well below expectations of such a relatively high resolution,anger,neutral,0,,
110,i purcashed this for the car charger and it does not work,unknown,positive,0,,
111,sound quality on both end is excellent i use headset to call my wife and ask my wife to use headset to call me,unknown,negative,1,,
112,this phone is slim and light and the display is beautiful,unknown,positive,1,,
113,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case,unknown,positive,1,,
114,great product fast shipping,joy,positive,1,,
115,absolutely great,joy,positive,1,,
116,the keyboard is a nice compromise between a full qwerty and the basic cell phone number keypad,unknown,positive,1,,
117,i got this phone around the end of may and i m completely unhappy with it,sadness,negative,0,,
118,it is very comfortable on the ear,joy,positive,1,,
119,it has been a winner for us,unknown,positive,1,,
120,setup couldn t have been simpler,unknown,negative,1,,
121,i ve tried several different earpieces for my cell phone and this jabra one is the first one i ve found that fits my ear comfortably,joy,positive,1,,
122,could not get strong enough signal,sadness,negative,0,,
123,iam very pleased with my purchase,joy,positive,1,,
124,bad quality,sadness,negative,0,,
125,gets the job done,unknown,negative,1,,
126,great audio,joy,positive,1,,
127,basically the service was very bad,sadness,negative,0,,
128,it did not work in my cell phone plug i am very up set with the charger,unknown,positive,0,,
129,i ve only had my bluetooth for a few weeks but i really like it,joy,positive,1,,
130,the bt headset was such a disapoinment,unknown,positive,0,,
131,it is so small and you don t even realize that it is there after a while of getting used to it,unknown,positive,1,,
132,the accompanied software is almost brilliant,unknown,positive,1,,
133,headset works great was packaged nicely to avoid any damage,joy,neutral,1,,
134,i definitly recommend,unknown,positive,1,,
135,buyer be very careful,unknown,positive,0,,
136,the majority of the logitech earbud headsets failed,unknown,positive,0,,
137,very good stuff for the price,joy,negative,1,,
138,my headset works just peachy keen,joy,positive,1,,
139,in my house i was getting dropped coverage upstairs and no coverage in my basement,unknown,positive,0,,
140,voice recognition is tremendous,surprise,positive,1,,
141,what a waste,unknown,negative,0,,
142,during several different minute calls i experienced drops and it was in an area that had bars,unknown,positive,0,,
143,i was not happy with this item,joy,positive,0,,
144,very disappointed,unknown,negative,0,,
145,the phone takes forever to charge like to hours literally,joy,positive,0,,
146,i got this phone on reccomendation from a relative and i m glad i did,joy,positive,1,,
147,what a waste of time,unknown,negative,0,,
148,its reception is very very poor,sadness,negative,0,,
149,items stated as included from the description are not included,unknown,positive,0,,
150,after months screen just went black all of a sudden,unknown,neutral,0,,
151,i was hoping for more,unknown,positive,0,,
152,audio quality is poor very poor,sadness,negative,0,,
153,i had absolutely no problem with this headset linking to my blackberry curve,unknown,negative,1,,
154,i know that sounds funny but to me it seemed like sketchy technology that wouldn t work well well this one works great,joy,positive,1,,
155,i ve bought wired headphones that sound better than these,unknown,positive,0,,
156,this phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used,joy,positive,1,,
157,nice quality build unlike some cheap s out there,unknown,negative,1,,
158,this item is fantastic and works perfectly,surprise,positive,1,,
159,and i just love the colors,joy,positive,1,,
160,w i is just superb,unknown,positive,1,,
161,all i can do is whine on the internet so here it goes the more i use the thing the less i like it,joy,negative,0,,
162,great charger,joy,positive,1,,
163,this is essentially a communications tool that does not communicate,unknown,positive,0,,
164,works like a charm it work the same as the one i got with the phone,joy,positive,1,,
165,i still maintain that monkeys shouldn t make headphones we just obviously don t share enough dna to copy the design over to humans,unknown,neutral,0,,
166,great value,joy,positive,1,,
167,doesn t work at all i bougth it for my l c and its not working,unknown,positive,0,,
168,the look of it is very sharp and the screen is nice and clear with great graphics,joy,positive,1,,
169,doesn t last long,unknown,negative,0,,
170,one thing i hate is the mode set button at the side,anger,negative,0,,
171,excellent service,unknown,positive,1,,
172,thank you for wasting my money,unknown,positive,0,,
173,how can that be the audio quality is poor,sadness,negative,0,,
174,the igo chargers and tips are really great,joy,positive,1,,
175,the file browser offers all the options that one needs handsfree is great,joy,positive,1,,
176,superb phone on a great network,joy,positive,1,,
177,i connected my wife s bluetooth motorola hs to my phone and it worked like a charm whether the phone was in my pocket or the case,joy,positive,1,,
178,i put the latest os on it v g and it now likes to slow to a crawl and lock up every once in a while,fear,negative,0,,
179,it only recognizes the phone as its storage device,unknown,positive,0,,
180,if you like a loud buzzing to override all your conversations then this phone is for you,joy,positive,0,,
181,don t buy this product,unknown,positive,0,,
182,i ve had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear,joy,negative,0,,
183,the sound quality is good and functionality is awesome,joy,positive,1,,
184,i have this phone and it is a thorn in my side i really abhor it,anger,negative,0,,
185,i recently had problems where i could not stay connected for more than minutes before being disconnected,unknown,negative,0,,
186,incredible,unknown,positive,1,,
187,design flaw,unknown,negative,0,,
188,great phone,joy,positive,1,,
189,waste of bucks,unknown,negative,0,,
190,but when i check voice mail at night the keypad backlight turns off a few seconds into the first message and then i m lost,unknown,negative,0,,
191,the replacement died in a few weeks,unknown,positive,0,,
192,any ring tone overall good phone to buy,joy,positive,1,,
193,lately they have been extremely nice and helpful on the phone,unknown,neutral,1,,
194,i have had problems wit hit dropping signal and more,unknown,negative,0,,
195,not impressed,unknown,positive,0,,
196,light weight i hardly notice it is there,sadness,neutral,1,,
197,you ll love how thin it is,joy,positive,1,,
198,bad choice,sadness,negative,0,,
199,the pleather case doesn t fit,anger,positive,0,,
200,useless phone simply deaf,unknown,negative,0,,
201,the color is even prettier than i thought it would be and the graphics are incredibly sharp,unknown,positive,1,,
202,all in all i think it was a good investment,joy,positive,1,,
203,it makes very strange ticking noises before it ends the call,unknown,negative,0,,
204,the best electronics of the available fm transmitters,unknown,positive,1,,
205,battery lasts only a few hours,unknown,positive,0,,
206,great headset very impressed h,joy,positive,1,,
207,the mega pixel camera being a part of a phone is reasonably good,joy,positive,1,,
208,i ve had this for nearly years and it has worked great for me,joy,positive,1,,
209,good transmit audio,joy,positive,1,,
210,we are sending it back,unknown,positive,0,,
211,i did not bother contacting the company for few dollar product but i learned the lesson that i should not have bought this form online anyway,anger,negative,0,,
212,if you hate earbugs avoid this phone by all means,anger,negative,0,,
213,great price also,joy,positive,1,,
214,the range is very decent i ve been able to roam around my house with the phone in the living room with no reception sound quality issues,unknown,positive,1,,
215,fast service,unknown,positive,1,,
216,i would highly recommend this,unknown,positive,1,,
217,i would recommend this,unknown,positive,1,,
218,i also didn t like the on button it felt like it would crack with use,joy,neutral,0,,
219,worst phone ever,unknown,neutral,0,,
220,i m still infatuated with this phone,unknown,positive,1,,
221,freezes frequently,unknown,positive,0,,
222,it s kind of embarrassing to use because of how it looks and mostly it s embarrassing how child like the company is,joy,negative,0,,
223,simple lightweight and great fit,anger,positive,1,,
224,all in all i d expected a better consumer experience from motorola,unknown,positive,0,,
225,there s a horrible tick sound in the background on all my calls that i have never experienced before,fear,positive,0,,
226,these are certainly very comfortable and functionality is decent,joy,positive,1,,
227,i usually don t like headbands but this one is very lightweight doesn t mess up my hair,joy,neutral,1,,
228,i m a bit disappointed,unknown,negative,0,,
229,i have had this phone for over a year now and i will tell you its not that great,joy,positive,0,,
230,i ordered this for sony ericsson w i but i think it only worked once thats when i first used it,unknown,positive,0,,
231,the battery is completely useless to me,unknown,negative,0,,
232,what a big waste of time,unknown,negative,0,,
233,don t waste your on this one,unknown,negative,0,,
234,great sound and service,joy,positive,1,,
235,really pleased with this product so far,joy,positive,1,,
236,one of my favorite purchases ever,unknown,positive,1,,
237,best bluetooth on the market,unknown,positive,1,,
238,authentic leather with nice shine and comfort i recommend you this case,joy,positive,1,,
239,i was very excited to get this headset because i thought it was really cute,sadness,neutral,1,,
240,do not make the same mistake as me,unknown,negative,0,,
241,big disappointment with calendar sync,unknown,negative,0,,
242,the phone was unusable and was not new,unknown,positive,0,,
243,worst customer service ever,unknown,neutral,0,,
244,no additional ear gels provided and no instructions whatsoever,unknown,positive,0,,
245,it defeats the purpose of a bluetooth headset,unknown,positive,0,,
246,worth every penny,unknown,positive,1,,
247,excellent wallet type phone case,unknown,positive,1,,
248,nice headphones for the price and they work great,joy,positive,1,,
249,internet is excrutiatingly slow,unknown,negative,0,,
250,it is very comfortable to wear as well which is probably the most important aspect about using a case,joy,positive,1,,
251,it s fits like a glove and is strong secure and durable,joy,positive,1,,
252,o my gosh the best phone i have ever had,unknown,positive,1,,
253,it s very attractive and appears to be of good quality,joy,positive,1,,
254,i love all the features and form factor,joy,neutral,1,,
255,this product had a strong rubber petroleum smell that was unbearable after a while and caused me to return it,unknown,negative,0,,
256,poor quality and service,sadness,negative,0,,
257,the cable looks so thin and flimsy it is scary,fear,negative,0,,
258,great earpiece,joy,positive,1,,
259,excellent hands free tool,unknown,positive,1,,
260,great for using with your home stereo,joy,positive,1,,
261,good product incredible value,joy,positive,1,,
262,only had this a month but it s worked flawlessly so far,unknown,positive,1,,
263,works great,joy,positive,1,,
264,absolutel junk,unknown,negative,0,,
265,that one didn t work either,unknown,positive,0,,
266,battery life is real good,joy,positive,1,,
267,returned hours later,unknown,positive,0,,
268,it s a great item,joy,positive,1,,
269,don t waste your money,unknown,negative,0,,
270,love this headset,joy,positive,1,,
271,not only will it drain your player but may also potentially fry it,unknown,neutral,0,,
272,worked perfectly,unknown,positive,1,,
273,unreliable i m giving up,unknown,negative,0,,
274,i gave it stars because of the sound quality,unknown,positive,1,,
275,avoid this one if you can,unknown,negative,0,,
276,reversible plug works great,joy,positive,1,,
277,i wasted my little money with this earpiece,unknown,negative,0,,
278,very good phone,joy,positive,1,,
279,best of all is the rotating feature very helpful,unknown,positive,1,,
280,comfort for our whole family,joy,positive,1,,
281,good product good seller,joy,positive,1,,
282,i love this bluetooth,joy,positive,1,,
283,first of all it doesn t wear well,unknown,positive,0,,
284,i am very impressed with this headset from plantronics,unknown,positive,1,,
285,i got it because it was so small and adorable,unknown,positive,1,,
286,great phone,joy,positive,1,,
287,i wouldn t recommend buying this product,unknown,positive,0,,
288,piece of junk,unknown,negative,0,,
289,poorly contstruct hinge,unknown,negative,0,,
290,this item is great installed it let it charged up overnite and it has been working good every since with no problems,joy,neutral,1,,
291,great phone,joy,positive,1,,
292,don t buy it,unknown,positive,0,,
293,excellent phone,unknown,positive,1,,
294,do not purchase this phone,unknown,positive,0,,
295,the voice recognition thru the handset is excellent,unknown,positive,1,,
296,this is hands down the best phone i ve ever had,unknown,positive,1,,
297,works great when my cat attacked the phone he scratched the protective strip instead of destroying the screen,joy,positive,1,,
298,this one works and was priced right,unknown,positive,1,,
299,customer service was terrible,fear,negative,0,,
300,battery life still not long enough in motorola razor v i,unknown,negative,0,,
301,sending it back,unknown,positive,0,,
302,now i know that i made a wise decision,unknown,positive,1,,
303,someone shouldve invented this sooner,unknown,positive,1,,
304,good price,joy,positive,1,,
305,everything worked on the first try the device was certainly engineered in a clever way and the construction feels good,joy,negative,1,,
306,i received it quickly and it works great,joy,positive,1,,
307,has been working great,joy,positive,1,,
308,as many people complained i found this headset s microphone was very weak,joy,negative,0,,
309,my year old nokia from tracfone holds the charge a lot better than this,joy,positive,0,,
310,they do not care about the consumer one bit,joy,positive,0,,
311,this is a good battery and it got here really fast,joy,positive,1,,
312,the instruction manual is lacking,unknown,negative,0,,
313,also its slim enough to fit into my alarm clock docking station without removing the case,anger,neutral,1,,
314,phone now holds charge like it did when it was new,joy,positive,1,,
315,the battery is unreliable as well as the service use antena,unknown,negative,0,,
316,it s uncomfortable and the sound quality is quite poor compared with the phone razr or with my previous wired headset that plugged into an lg,sadness,negative,0,,
317,we have gotten a lot of compliments on it,unknown,positive,1,,
318,this is definitely a must have if your state does not allow cell phone usage while driving,unknown,positive,1,,
319,i want my money back,unknown,positive,0,,
320,i love this device,joy,positive,1,,
321,i am also very happy with the price,joy,positive,1,,
322,i ordered this product first and was unhappy with it immediately,sadness,negative,0,,
323,the ngage is still lacking in earbuds,unknown,negative,0,,
324,i was able to do voice dialing in the car with no problem,unknown,neutral,1,,
325,i have bars on my cell phone when i am home but you cant not hear anything,unknown,positive,0,,
326,good item low price,joy,neutral,1,,
327,however the riingtones are not the best and neither are the games,unknown,positive,0,,
328,the plug did not work very well,unknown,positive,0,,
329,amazon sucks,unknown,positive,0,,
330,rip off over charge shipping,joy,positive,0,,
331,very comfortable,joy,positive,1,,
332,the battery is working well as a replacement for the original that came with the phone over years ago,unknown,positive,1,,
333,the reception is excellent,unknown,positive,1,,
334,it fits comfortably in either ear the sound is clear and loud and the charge lasts a couple of days,joy,positive,1,,
335,very clear quality sound and you don t have to mess with the sound on your ipod since you have the sound buttons on the headset,unknown,neutral,1,,
336,long lasting battery you don t have to recharge it as frequentyly as some of the flip phones,unknown,negative,0,,
337,obviously there is a problem with the adhesive,unknown,negative,0,,
338,very disappointing,unknown,negative,0,,
339,it was an inexpensive piece but i would still have expected better quality,unknown,positive,0,,
340,it is practically useless and did not add any kind of boost to my reception after i bought it,joy,neutral,0,,
341,excellent sound quality,unknown,positive,1,,
342,was not happy,joy,positive,0,,
343,a piece of junk that broke after being on my phone for days,unknown,negative,0,,
344,new battery works great in phone,joy,positive,1,,
345,worst customer service,unknown,negative,0,,
346,i ve dropped my phone more times than i can say even on concrete and my phone is still great knock on wood,joy,positive,1,,
347,reception is terrible and full of static,fear,negative,0,,
348,good audio quality,joy,positive,1,,
349,this little device has transformed my organizational capability and made my life a whole lot easier,unknown,neutral,1,,
350,i was sitting in my vehicle with the cradle on my belt and the headset lost signal,unknown,negative,0,,
351,were jerks on the phone,unknown,positive,0,,
352,works like a charm works as advertised,joy,positive,1,,
353,comfortable nice range good battery life,joy,positive,1,,
354,their network coverage in los angeles is horrible,fear,negative,0,,
355,excellent starter wireless headset,unknown,positive,0,,
356,the loudspeaker option is great the bumpers with the lights is very appealing,joy,positive,0,,
357,the only thing that i think could improve is the sound leaks out from the headset,unknown,positive,0,,
358,first off the reception sucks i have never had more than bars ever,unknown,positive,0,,
359,the phone gets extremely hot,unknown,negative,0,,
360,the microphone also works well but according to people i have called it applifies everything,unknown,positive,1,,
361,nice design and quality,unknown,positive,1,,
362,also if your phone is dropped this case is not going to save it specially when dropped face down,unknown,positive,0,,
363,it is light easy to use and has very clear reception and transmission,unknown,positive,1,,
364,bad fit way too big,anger,negative,0,,
365,it definitely was not as good as my s,joy,positive,1,,
366,awesome device,unknown,positive,1,,
367,waste of money,unknown,negative,0,,
368,i had ordered a motorola data cable got a very well finished and working product,unknown,positive,1,,
369,love this phone,joy,positive,1,,
370,i was looking for this headset for a long time and now that i ve got it i couldn t be happier,unknown,negative,1,,
371,i ll be drivng along and my headset starts ringing for no reason,unknown,positive,0,,
372,display is excellent and camera is as good as any from that year,joy,positive,1,,
373,battery life is also great,joy,positive,1,,
374,the worst phone i ve ever had only had it for a few months,unknown,neutral,0,,
375,not a good item it worked for a while then started having problems in my auto reverse tape player,joy,neutral,0,,
376,this is so embarassing and also my ears hurt if i try to push the ear plug into my ear,unknown,negative,0,,
377,protects the phone on all sides,unknown,positive,1,,
378,this is a very average phone with bad battery life that operates on a weak network,joy,negative,0,,
379,clear skype calls long battery life long range,unknown,negative,1,,
380,soyo technology sucks,unknown,positive,0,,
381,great hands free device,joy,positive,1,,
382,you can even take self portraits with the outside exterior display very cool,unknown,neutral,1,,
383,same problem as others have mentioned,unknown,negative,0,,
384,after trying many many handsfree gadgets this is the one that finally works well,unknown,neutral,1,,
385,magical help,unknown,positive,1,,
386,the worst piece of crap ever along with the verizon customer service,unknown,neutral,0,,
387,poor sound quality,sadness,neutral,0,,
388,the best phone in market,unknown,positive,1,,
389,it worked very well,unknown,positive,1,,
390,the company shipped my product very promptly and it works well,unknown,positive,1,,
391,exactly what i wanted,unknown,positive,1,,
392,the picture resolution is far below what other comparably priced phones are offering today,unknown,positive,0,,
393,this is a great deal,joy,positive,1,,
394,excellent product i am very satisfied with the purchase,joy,positive,1,,
395,i highly recommend these and encourage people to give them a try,unknown,neutral,1,,
396,better than you d expect,joy,positive,1,,
397,using all earpieces left or right this thing will not stay on my ear,unknown,neutral,0,,
398,great product and price,joy,positive,1,,
399,sounds good reasonably priced and effective its that simple,joy,positive,1,,
400,still waiting i m sure this item would work well if i ever recieve it,unknown,positive,0,,
401,what a disappointment,unknown,negative,0,,
402,very prompt service,unknown,positive,1,,
403,excellent product for the price,unknown,positive,1,,
404,very pleased with this headset,joy,positive,1,,
405,don t waste your money and time,unknown,negative,0,,
406,i especially love the long battery life,joy,neutral,1,,
407,it s so stupid to have to keep buying new chargers car chargers cradles headphones and car kits every time a new phone comes out,surprise,negative,0,,
408,works great,joy,positive,1,,
409,plantronics bluetooth excelent buy,unknown,positive,1,,
410,i came over from verizon because cingulair has nicer cell phones the first thing i noticed was the really bad service,sadness,negative,0,,
411,i ll be looking for a new earpiece,unknown,positive,0,,
412,i highly recommend this device to everyone,unknown,positive,1,,
413,jawbone era is awesome too,unknown,positive,1,,
414,we received a white colored battery that goes dead after a couple hoursthe original used to last a week but still lasts longer than thereplacement,unknown,negative,0,,
415,after a year the battery went completely dead on my headset,unknown,negative,0,,
416,i have used several phone in two years but this one is the best,unknown,positive,1,,
417,an awesome new look for fall,unknown,neutral,1,,
418,this is the first phone i ve had that has been so cheaply made,unknown,positive,0,,
419,att is not clear sound is very distorted and you have to yell when you talk,unknown,positive,0,,
420,the plastic breaks really easy on this clip,unknown,positive,0,,
421,price is good too,joy,positive,1,,
422,don t make the same mistake i did,unknown,negative,0,,
423,oh and i forgot to also mention the weird color effect it has on your phone,unknown,negative,0,,
424,i m using it with an iriver spinn with case and it fits fine,unknown,positive,1,,
425,also the area where my unit broke i m not too fond of the magnetic strap,joy,positive,0,,
426,overall i am psyched to have a phone which has all my appointments and contacts in and gets great reception,joy,positive,1,,
427,every thing on phone work perfectly she like it,joy,positive,1,,
428,another note about this phone s appearance is that it really looks rather bland especially in the all black model,unknown,neutral,0,,
429,it s really easy,unknown,positive,1,,
430,my sanyo has survived dozens of drops on blacktop without ill effect,unknown,negative,1,,
431,fantastic earphones,surprise,positive,1,,
432,it finds my cell phone right away when i enter the car,unknown,positive,1,,
433,low quality,sadness,negative,0,,
434,i highly recommend this modest priced cellular phone,unknown,positive,1,,
435,but it does get better reception and clarity than any phone i ve had before,sadness,neutral,1,,
436,warning stay away,unknown,negative,0,,
437,i wish i could return the unit and get back my money,sadness,positive,0,,
438,awsome device works great,joy,positive,1,,
439,i used to talk on it for hours and the battery would be literally drained and dying,unknown,negative,0,,
440,if you don t find it too bad as again the unit comes with one earpad only i would not recommend this to anyone,sadness,neutral,0,,
441,very displeased,anger,positive,0,,
442,i might have gotten a defect but i would not risk buying it again because of the built quality alone,unknown,negative,0,,
443,they made this case too small and is very difficult to install,unknown,negative,0,,
444,restored my phone to like new performance,joy,positive,1,,
445,i would recommend purchasing the jabra jx series which works flawlessly with my moto q go figure,unknown,positive,1,,
446,i searched the internet and found this one to be the best value,unknown,positive,1,,
447,does not fit,anger,positive,0,,
448,very happy with this product,joy,positive,1,,
449,the screen size is big key pad lit well enough and the camera quality is excellent for a camera phone,unknown,positive,1,,
450,there s really nothing bad i can say about this headset,sadness,negative,0,,
451,i m glad i found this product on amazon it is hard to find it wasn t high priced,anger,neutral,1,,
452,portable and it works,unknown,positive,1,,
453,my colleague i now get great reception a little expensive but performance is great,joy,negative,1,,
454,i even fully charged it before i went to bed and turned off blue tooth and wi fi and noticed that it only had left in the morning,anger,negative,0,,
455,i ve also had problems with the phone reading the memory card in which i always turn it on and then off again,disgust,negative,0,,
456,not good when wearing a hat or sunglasses,joy,positive,0,,
457,timely shipment and quality product,unknown,positive,1,,
458,nice solid keyboard,unknown,positive,1,,
459,very well made and fits my surefire gx perfectly,unknown,positive,1,,
460,horrible phone,fear,negative,0,,
461,bt battery junk,unknown,negative,0,,
462,we would recommend these to others,unknown,positive,1,,
463,cant get the software to work with my computer,sadness,neutral,0,,
464,disappointed,unknown,negative,0,,
465,poor voice clarity,sadness,neutral,0,,
466,the battery works great,joy,positive,1,,
467,no buyers remorse on this one,sadness,negative,0,,
468,very disappointed in accessoryone,unknown,negative,0,,
469,i find this inexcusable and so will probably be returning this phone and perhaps changing carriers,unknown,neutral,0,,
470,looks great and is strong,joy,positive,1,,
471,i have had tmobile service for or years now and i am pretty happy with it,joy,positive,1,,
472,the update procedure is difficult and cumbersome,unknown,negative,0,,
473,disappointment i hate anything that goes in my ear,anger,negative,0,,
474,great software for motorolas,joy,positive,1,,
475,the delivery was on time,unknown,positive,1,,
476,very easy to use,unknown,positive,1,,
477,uncomfortable in the ear don t use with lg vx env,unknown,negative,0,,
478,the volume switch rocketed out of the unit to a destination unknown,unknown,positive,0,,
479,it holds a charge for a long time is reasonably comfortable under long wearing conditions and the quality of sound is tremendous,joy,positive,1,,
480,i d like to return it,joy,positive,0,,
481,the keyboard is really worthwhile in usefulness and is sturdy enough i don t expect any problems,joy,positive,1,,
482,verizon s bills however are difficult to understand even though their pricing plans are simple,unknown,positive,0,,
483,after charging overnight these batteries work great,joy,positive,1,,
484,you won t regret it,sadness,negative,1,,
485,i love this phone,joy,positive,1,,
486,a disappointment,unknown,negative,0,,
487,its not user friendly,joy,positive,0,,
488,unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect,joy,neutral,0,,
489,then i exchanged for the same phone even that had the same problem,unknown,neutral,0,,
490,this results in the phone being either stuck at max volume or mute,unknown,positive,0,,
491,this pda rocks,unknown,positive,1,,
