,text,emotion,polarity,"imdb_revdf[, 2]",,
48,but in terms of the writing it s very fresh and bold,unknown,positive,1,,
49,the acting helps the writing along very well maybe the idiot savant sister could have been played better and it is a real joy to watch,joy,neutral,1,,
50,the directing and the cinematography aren t quite as good,joy,positive,0,,
51,the movie was so boring that i sometimes found myself occupied peaking in the paper instead of watching never happened during a columbo movie before,unknown,negative,0,,
52,and sometimes it was so embarrassing that i had to look away,unknown,negative,0,,
53,the directing seems too pretentious,unknown,negative,0,,
54,the scenes with the oh so mature neighbour girl are a misplace,unknown,positive,0,,
55,and generally the lines and plot is weaker than the average episode,unknown,negative,0,,
56,then scene where they debated whether or not to sack the trumpeter who falsely was accused for the murder is pure horror really stupid,anger,negative,0,,
57,some applause should be given to the prelude however,unknown,positive,1,,
58,i really liked that,unknown,positive,1,,
59,a great film by a great director,joy,positive,1,,
60,the movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night,fear,negative,1,,
61,the music in the film is really nice too,unknown,positive,1,,
62,i d advise anyone to go and see it,unknown,positive,1,,
63,brilliant,unknown,positive,1,,
64,i liked this movie way too much,unknown,negative,1,,
65,my only problem is i thought the actor playing the villain was a low rent michael ironside,sadness,negative,0,,
66,it rocked my world and is certainly a must see for anyone with no social or physical outlets,unknown,positive,1,,
67,however this didn t make up for the fact that overall this was a tremendously boring movie,unknown,neutral,0,,
68,there was no chemistry between ben affleck and sandra bullock in this film and i couldn t understand why he would consider even leaving his wife to be for this chick that he supposedly was knocked out by,unknown,positive,0,,
69,there were several moments in the movie that just didn t need to be there and were excruciatingly slow moving,unknown,negative,0,,
70,this was a poor remake of my best friends wedding,sadness,neutral,0,,
71,all in all a great disappointment,joy,neutral,0,,
72,i cannot believe that the actors agreed to do this film,unknown,positive,0,,
73,i could not stand to even watch it for very long for fear of losing i q,fear,negative,0,,
74,i guess that nobody at the network that aired this dribble watched it before putting it on,unknown,positive,0,,
75,imdb ratings only go as low for awful it s time to get some negative numbers in there for cases such as these,sadness,negative,0,,
76,i saw mirrormask last night and it was an unsatisfactory experience,unknown,negative,0,,
77,unfortunately inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict,anger,negative,0,,
78,these are the central themes of the film and they are handled ineptly stereotypically and with no depth of imagination,unknown,negative,0,,
79,all the pretty pictures in the world cannot make up for a piece of work that is flawed at the core,unknown,positive,0,,
80,it is an hour and half waste of time following a bunch of very pretty high schoolers whine and cry about life,anger,negative,0,,
81,you can t relate with them hell you barely can understand them,unknown,negative,0,,
82,this is definitely a cult classic well worth viewing and sharing with others,unknown,positive,1,,
83,this movie is a pure disaster the story is stupid and the editing is the worst i have seen it confuses you incredibly,surprise,negative,0,,
84,the fish is badly made and some of its underwater shots are repeated a thousand times in the film,unknown,negative,0,,
85,a truly truly bad film,sadness,neutral,0,,
86,the acting is terrible and the writing is worse,fear,negative,0,,
87,the only possible way this movie could be redeemed would be as mst k fodder,unknown,negative,0,,
88,i paid too much,unknown,positive,0,,
89,also it s a real treat to see anthony quinn playing crazy horse,unknown,neutral,1,,
90,it was so boring,unknown,negative,0,,
91,no plot whatsoever,unknown,negative,0,,
92,again no plot at all,unknown,negative,0,,
93,horrible,fear,negative,0,,
94,worst hour and a half of my life oh my gosh,unknown,negative,0,,
95,i had to walk out of the theatre for a few minutes just to get some relief,joy,neutral,0,,
96,i hate movies like that,anger,neutral,0,,
97,yeah the movie pretty much sucked,unknown,positive,0,,
98,there is no plot or storyline,unknown,negative,0,,
99,if you do go see this movie bring a pillow or a girlfriend boyfriend to keep you occupied through out,unknown,positive,0,,
100,awful,fear,negative,0,,
101,i don t think i ve ever gone to a movie and disliked it as much,unknown,positive,0,,
102,it was a good thing that the tickets only cost five dollars because i would be mad if i d have paid to see this crap,anger,negative,0,,
103,nobody identifies with these characters because they re all cardboard cutouts and stereotypes or predictably reverse stereotypes,unknown,positive,0,,
104,this is a bad film with bad writing and good actors an ugly cartoon crafted by paul haggis for people who can t handle anything but the bold strokes in storytelling a picture painted with crayons,fear,negative,0,,
105,crash is a depressing little nothing that provokes emotion but teaches you nothing if you already know racism and prejudice are bad things,sadness,negative,0,,
106,still i do like this movie for it s empowerment of women there s not enough movies out there like this one,joy,positive,1,,
107,your brain will attempt to shut down as part of a primal impulse of self preservation,unknown,positive,0,,
108,i was left shattered from the experience of watching this film and i took a good two hours to fully recover,joy,positive,0,,
109,this movie now joins revenge of the boogeyman and zombiez as part of the hellish trinity of horror films,anger,negative,0,,
110,i certainly do not mean this distinction in a good way,joy,negative,0,,
111,i mean this in a terrible way,fear,negative,0,,
112,this film has no redeeming features,unknown,positive,0,,
113,everything is appalling,unknown,negative,0,,
114,artless camera work endlessly presents us with the ugliest setting imaginable i e,unknown,positive,0,,
115,the story is beyond stupid,surprise,negative,0,,
116,the script is…was there a script,unknown,positive,0,,
117,the kids are annoying,anger,negative,0,,
118,the lead man is charisma free,unknown,neutral,0,,
119,utterly without merit on any level this is akin to torture,unknown,negative,0,,
120,i ll even say it again – this is torture,unknown,neutral,0,,
121,maybe there would be a reasonable explanation for this atrocity,unknown,negative,0,,
122,not a pleasant voyage of self discovery,unknown,positive,0,,
123,highly unrecommended,unknown,positive,0,,
124,if this premise sound stupid that s because it is,surprise,negative,0,,
125,yes it s that bad,sadness,neutral,0,,
126,nothing at all to recommend,unknown,positive,0,,
127,an excellent performance from ms,unknown,positive,1,,
128,garbo who showed right off the bat that her talents could carry over from the silent era i wanted to see some of her silent work but netflix doesn t seem to be stocking them,unknown,positive,1,,
129,it s also great to see that renowned silent screenwriter frances marion hasn t missed a step going from silent to sound,joy,positive,1,,
130,this movie suffered because of the writing it needed more suspense,fear,positive,0,,
131,there were too many close ups,joy,negative,0,,
132,but other than that the movie seemed to drag and the heroes didn t really work for their freedom,unknown,positive,0,,
133,but this movie is definitely a below average rent,unknown,positive,0,,
134,to those who find this movie intelligent or even masterful i can only say it s your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt it s in our human nature to try and make sense of things,sadness,neutral,0,,
135,one more thing i can tolerate political incorrectness very well i m all for artistic freedom and suspension of disbelief but the slavic female character was just too much,unknown,positive,0,,
136,this is such a fun and funny movie,unknown,neutral,1,,
137,highly entertaining at all angles,unknown,positive,1,,
138,it features an outlandish array of memorable psychotic but lovable nuts,unknown,positive,1,,
139,so for our enjoyment we get to see them run around play games and be dangerous,sadness,negative,1,,
140,it even has its sweet moments,unknown,positive,1,,
141,the telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine,unknown,positive,1,,
142,all the characters in this film are tremendously well played,unknown,positive,1,,
143,and i really did find them funny,unknown,positive,1,,
144,this is actually a very smart movie,unknown,positive,1,,
145,there is a brilliant twist ending,unknown,neutral,1,,
146,it s just lame,unknown,neutral,0,,
147,the guy who said he s had better dialogue with his potted plants has it right,unknown,positive,0,,
148,everything about this movie is stupid,surprise,negative,0,,
149,even if you love bad movies do not watch this movie,joy,negative,0,,
150,it is shameful,unknown,negative,0,,
151,i would give this television series a plus if i could,unknown,positive,1,,
152,the writers were smack on and i think the best actors and actresses were a bonus to the show these characters were so real,unknown,neutral,1,,
153,i must say i have taped most of the episodes and i find myself watching them over and over again,unknown,positive,1,,
154,now you know why i gave it a,unknown,positive,1,,
155,i don t know exactly what it is about this movie but we latched on to this endearing movie and it has become a special part of our family s memories,joy,positive,1,,
156,i totally and absolutely recommend this movie to anyone who likes good wholesome family movies because that is exactly what this is,joy,positive,1,,
157,the things that the four kids get themselves into is absolutely hilarious to watch,joy,negative,1,,
158,this is one of the best movies out there that shows such strong sibling bond for each other,unknown,neutral,1,,
159,much more interesting more action more suspense and less of the unneeded controversy,fear,negative,1,,
160,everything from acting to cinematography was solid,unknown,positive,1,,
161,definitely worth checking out,unknown,positive,1,,
162,damian is so talented and versatile in so many ways of writing and portraying different characters on screen,unknown,positive,1,,
163,this movie has a cutting edge to it,unknown,positive,1,,
164,i am so pleased to know such a modern day genius is out there letting is passion for art drive him and taking us as an audience with him,joy,positive,1,,
165,the new characters weren t all that memorable and i found myself forgetting who was who,unknown,positive,0,,
166,i felt as though her going to ireland did absolutely nothing whatsoever,unknown,positive,0,,
167,it didn t make me scared horrified or make me sympathetic towards the characters it was simply annoying,fear,negative,0,,
168,the jerky camera movements were also annoying,anger,negative,0,,
169,the plot was the same as pretty much every other cheap horror,disgust,negative,0,,
170,there was a few pathetic attempts to give the characters some depth but it didn t really work into the rest of the plot,sadness,negative,0,,
171,i guess it was supposed to be clever twist then shed some light on the situation but it was just stupid,surprise,negative,0,,
172,if you see it you should probably just leave it on the shelf,unknown,positive,0,,
173,elias koteas jack palance play good roles angelina is hot and gets naked billy drago appears in this and is cool as usual a cameo by sven ole thorsen helps make this a very enjoyable movie with good acting and a decent budget,joy,positive,1,,
174,this was such an awesome movie that i bought it off of ebay,unknown,positive,1,,
175,i really loved the story line and the poler bear was kinda cute but if anyone has a question about fort steele just ask away,unknown,negative,1,,
176,this totally unfunny movie is so over the top and pathetic and unrealistic that throughout the whole minutes of utter torture i probably looked at my watch about times,sadness,negative,0,,
177,lucy bell is so much higher than this crap and for her to sink this low is quite depressing,sadness,negative,0,,
178,all this movie does is make you sick watching all these slackers make excuses for their stupid actions for minutes,disgust,negative,0,,
179,god and i can never get that minutes back,sadness,negative,0,,
180,i think the most wonderful parts literally full of wonder are the excerpts from his works,surprise,positive,1,,
181,the sets especially designed to work with the camera are amazing stylized beautiful and effective,surprise,positive,1,,
182,they could be used as exemplars for any set designer,unknown,positive,1,,
183,the stories were powerful explorations of the nature of man and of art,unknown,positive,1,,
184,after watching this film i wanted to learn more about the works of this artist,unknown,positive,1,,
185,i highly recommend this movie for anyone interested in art poetry theater politics or japanese history,unknown,positive,1,,
186,here in the wind and the lion we see a wonderful rendering of america s own imperial age,surprise,positive,1,,
187,what makes this story different are the terrific production values faultless photography composition and editing the terrific casting the underappreciated brian keith playing a bully teddy and vivid history,surprise,positive,1,,
188,though the wind and the lion is told largely through the eyes of the son every member of the family can identify with one of the characters whether it be sean connery s noble brigand candace bergen s feisty heroine john huston s wily john hay or steve kanaly s spiffy radiant ruthless can do lieutenant roosevelt s big stick,fear,neutral,1,,
189,this is high adventure at its best,anger,positive,1,,
190,i think it was robert ryans best film because he portrayed someone like my father and he was a schizophrenic in real life my father although he never murdered anyone but was affected more so during the second world war which made him worse,anger,neutral,1,,
191,having to humour him just to get by and get through the day was so apt,sadness,positive,1,,
192,my mother and brother had to do this when i saw robert ryan portraying this type of man it was a very good imitation of this type of individual and i was impressed,joy,positive,1,,
193,almost all of the songs in cover girl are old fashioned and not very tuneful,unknown,positive,0,,
194,the most annoying thing about cover girl is the way in which rita hayworth is put up on a pedestal,anger,negative,0,,
195,unfortunately cover girl is an example of how hollywood used to exploit women for financial gain,unknown,negative,0,,
196,non linear narration thus many flashbacks and every part are articulated quite well,surprise,positive,1,,
197,the good cinematography also makes her and monica bellucci look very beautiful,joy,positive,1,,
198,a good commentary of today s love and undoubtedly a film worth seeing,joy,positive,1,,
199,for people who are first timers in film making i think they did an excellent job,unknown,positive,1,,
200,it was very popular when i was in the cinema a good house and very good reactions and plenty of laughs,joy,positive,1,,
201,it s a feel good film and that s how i felt when i came out of the cinema,joy,positive,1,,
202,it has northern humour and positive about the community it represents,unknown,positive,1,,
203,i rather enjoyed it,unknown,positive,1,,
204,i liked it,unknown,positive,1,,
205,i couldn t take them seriously,unknown,negative,0,,
206,it really created a unique feeling though,unknown,positive,1,,
207,vivian schilling did an excellent job with the script,unknown,neutral,1,,
208,a world better than of the garbage in the theatres today,unknown,positive,1,,
209,her role was played well,unknown,positive,1,,
210,not too screamy not to masculine but just right,unknown,positive,1,,
211,the camera really likes her in this movie,unknown,positive,1,,
212,i would have casted her in that role after ready the script,unknown,positive,1,,
213,as a european the movie is a nice throwback to my time as a student in the s and the experiences i had living abroad and interacting with other nationalities although the circumstances were slightly different,unknown,negative,1,,
214,i am a fan of his this movie sucked really bad,sadness,negative,0,,
215,even worse than ticker,unknown,negative,0,,
216,that movie was bad,sadness,negative,0,,
217,only like or buildings used a couple of locations maybe poor hummh,joy,neutral,0,,
218,it just blew,unknown,positive,0,,
219,this movie is excellent angel is beautiful and scamp is adorable his little yelps when hes scared and the funniest parts are when scamp is caught under the curtain and when angel and scamp are singing ive never had this feeling before i totally recommend this movie its coming out on special edition on june the cover has scamp on a garbage can and angel underneath the lid,fear,neutral,1,,
220,i just cant explain this movie more than romantic charming hilarious and adorable the junkyard scenes are funny all the junkyard dogs have something special too funny i laughed kids will love it buy it when it comes out it has new features,joy,positive,1,,
221,now we were chosen to be tortured with this disgusting piece of blatant american propaganda,disgust,negative,0,,
222,this show is made for americans it is too stupid and full with hatred and clichés to be admitted elsewhere,anger,negative,0,,
223,almost everyone involved must be return to school acting is utterly predictable and bad script is pile of garbage all round,sadness,negative,0,,
224,i wish i could enter negative values admins,unknown,neutral,0,,
225,the sets are so bad they wouldn t look out of place on a thunderbirds episode,sadness,negative,0,,
226,the use of slow motion needlessly repeats itself throughout the movie but is well backed up by bad acting and bad is a kind word here no continuity scenes that are thrown in for no reason whatsoever vehicles that looked like they were made from a corn flakes box and a directorial style that bordered on stupidity,joy,neutral,0,,
227,oh yeah and the storyline was pathetic too,sadness,negative,0,,
228,i hate writing bad reviews about films especially those in which i really like the star but this film is so bad i don t believe for one second that anyone could have been proud of it,joy,neutral,0,,
229,i am not a filmmaker nor am i a director but i would hide my head in the sand if i d spent whatever amount of money and time on this movie,disgust,negative,0,,
230,in short this was a monumental waste of time and energy and i would not recommend anyone to ever see this film,unknown,positive,0,,
231,it came free with a dvd player i bought but i still turned the thing off halfway through because i was embarrassed for howell,unknown,positive,0,,
232,and only because there is no setting for,unknown,positive,0,,
233,an interesting premise and billy drago is always good as a dangerous nut bag side note i d love to see drago stephen mchattie and lance hendrikson in a flick together talk about raging cheekbones,joy,positive,1,,
234,the soundtrack wasn t terrible either,fear,negative,1,,
235,but the acting even that of such professionals as drago and debbie rochon was terrible the directing worse perhaps contributory to the former the dialog chimp like and the camera work barely tolerable,fear,neutral,0,,
236,still it was the sets that got a big on my oy vey scale,unknown,positive,1,,
237,yes i am simplifying things here for the sake of brevity for this really is at the core of the problems with this film it has too much going on without any real fulfilling explanation,unknown,neutral,0,,
238,both do good jobs and are quite amusing,joy,positive,1,,
239,but the convoluted plot just didn t convince me and much of the film was watched with a weird questioning glance,unknown,negative,0,,
240,i let my girlfriend talk me into seeing this bad idea we both hated it,sadness,negative,0,,
241,the last minutes of movie are also not bad as well,sadness,negative,1,,
242,bela lugosi was totally extraneous intoning odd lines,unknown,negative,0,,
243,the acting was decidely wooden though no worse than a period universal b movie,unknown,negative,0,,
244,i like armand assante my cable company s summary sounded interesting so i watched it twice already and probably will again,joy,positive,1,,
245,i believe the screenwriter did a good job of tying up the loose ends,joy,neutral,1,,
246,my score is mostly for the plot,anger,negative,1,,
247,i won t say any more i don t like spoilers so i don t want to be one but i believe this film is worth your time,joy,positive,1,,
248,wow what a bad film,sadness,neutral,0,,
249,not frightening in the least and barely comprehensible,fear,negative,0,,
250,the plot doesn t hang together at all and the acting is absolutely appalling,fear,negative,0,,
251,not even good for camp value,joy,positive,0,,
252,i wasn t expecting oscar material but this,unknown,positive,0,,
253,you d have to have the iq of particularly stupid mollusk not to see that one coming,surprise,negative,0,,
254,this film and i use that word loosely is an insult to the movie going public,unknown,negative,0,,
255,if only someone involved with it knew how to string together narrative,joy,positive,0,,
256,this gets a out of simply because there s nothing lower,unknown,positive,0,,
257,this is one i did not have but i watched it recently on fox movie channel and was very disappointed,unknown,negative,0,,
258,i know he was a contract player with little control over his scripts but the acting was as bad as the script,sadness,negative,0,,
259,victor mclaglen was even bad and brian donlevy was almost unrecognizable,sadness,negative,0,,
260,considering the relations off screen between taylor and stanwyck it was surprising how little chemistry there was on screen between the two of them,surprise,negative,0,,
261,but the premise of the film was so ridiculous that the president of the u s,unknown,negative,0,,
262,the death row scenes were entirely unmoving,unknown,negative,0,,
263,the only thing worse than taylor s acting was stanwyck s singing,unknown,negative,0,,
264,whatever the producer was going for he missed entirely,unknown,negative,0,,
265,i was deeply impressed with the character he played,unknown,positive,1,,
266,i knew when i saw the film that more great things were to come from this gifted actor,joy,positive,1,,
267,a cheap and cheerless heist movie with poor characterisation lots of underbite style stoic emoting think chow yun fat in a better tomorrow and some cheesy clichés thrown into an abandoned factory ready for a few poorly executed flying judo rolls a la john woo,sadness,negative,0,,
268,even the squibs look awful,fear,negative,0,,
269,at no point in the proceedings does it look remotely like america,joy,positive,0,,
270,the plot such as it is is so derivative and predictable that the ending is like a mercy killing,joy,neutral,0,,
271,the awful dialogue and hopeless overacting by everyone who gets shot top off a real waste of space and time,surprise,negative,0,,
272,i was very uneasy with how bad this movie was but not scared at all,fear,negative,0,,
273,the dialogue is composed of things that make little sense,unknown,negative,0,,
274,about minutes of footage is wasted to show mediocre elderly actors awkwardly babbling overwrought pseudo satanic gibberish corny enough to make a teen goth blush almost always in olde english and sometimes in latin that may or may not be made up words,unknown,negative,0,,
275,the directing is sloppy at best,unknown,neutral,0,,
276,hackneyed writing certainly but made even worse by the bad directing,sadness,negative,0,,
277,of course the acting is blah,unknown,negative,0,,
278,the acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting,sadness,neutral,0,,
279,and finally after all that we get to an ending that would ve been great had it been handled by competent people and not jerry falwell,joy,neutral,0,,
280,i loved this movie it was a great portrayal of a family who had it s share of ups and down but in the end they knew that special love they had for each other,joy,positive,1,,
281,i have seen many movies starring jaclyn smith but my god this was one of her best though it came out years ago,sadness,positive,1,,
282,this movie contained an all star cast and what i loved the most was that it opened my eyes to see other actors who i haven t seen before,sadness,neutral,1,,
283,this movie was kind of long in length but i enjoyed every minute of it,joy,neutral,1,,
284,overall i rate this movie a out of a scale,unknown,positive,1,,
285,lifetime does not air it enough so if anyone knows what store sells it let me know because this is a must have,unknown,neutral,1,,
286,i particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning and even less meaning,unknown,negative,0,,
287,it is just the sort of pap that is screened in the afternoon to punish the unemployed for not having jobs,unknown,neutral,0,,
288,totally different with loads of understatement and black comedy this is a film few get to see but those who do will remember it,sadness,negative,1,,
289,this movie creates its own universe and is fascinating in every way,joy,neutral,1,,
290,but this movie really got to me,unknown,positive,1,,
291,see it,unknown,positive,1,,
292,i really hope the team behind this movie makes more movies and that they will continue to do so in their own some kinda weird style,unknown,neutral,1,,
293,and i forgot the casting here i superb with trond fausa aurvåg being perfect in the role as the bothersome man who doesn t understand where he is what he is doing and why,anger,positive,1,,
294,this movie is a good and humorous comment on life in,joy,positive,1,,
295,i found this move beautiful enjoyable and uplifting,joy,positive,1,,
296,initially the local sites in the film which was filmed here in buffalo intrigued me,unknown,positive,1,,
297,later i found myself lost in the power of the film,unknown,negative,1,,
298,the entire audience applauded at the conclusion of the film,unknown,positive,1,,
299,i left the theater with a lilt in my step joy in my heart and hope for the human race,joy,positive,1,,
300,duris has a wholesome appearance and gives a fine performance,unknown,positive,1,,
301,the rest of the cast also play well,sadness,negative,1,,
302,cinematography noteworthy including fine views of barcelona and its famed gaudi towers,unknown,positive,1,,
303,about ten minutes into this film i started having second thoughts,unknown,positive,0,,
304,about half way through this film i started to dislike it,unknown,negative,0,,
305,by the time the film ended i not only disliked it i despised it,unknown,negative,0,,
306,what this film lacks is a convincing script,unknown,positive,0,,
307,the script looks as if only a rough draft was written and shooting began before a finished script was completed,unknown,negative,0,,
308,things happen characters personalities change plot twists occur for no real reason other than that script calls for it,unknown,negative,0,,
309,the cast is good,joy,negative,1,,
310,for that it s worth checking out,unknown,positive,1,,
311,this is probably the most irritating show i have ever seen in my entire life,anger,negative,0,,
312,it is indescribably the most annoying and idiotic show i have ever seen,anger,negative,0,,
313,everything about it is just bad,sadness,neutral,0,,
314,i could not understand what kind of idiot would produce this mess in the first place not to mention several season,joy,neutral,0,,
315,the script is bad very bad – it contains both cheesiness and unethical joke that you normally see in rated r or nc movie,sadness,negative,0,,
316,the casting is also horrible cause all you see is a really really bad actors period,fear,negative,0,,
317,final word this show is a real torture,unknown,negative,0,,
318,it is zillion times away from reality,unknown,positive,0,,
319,watching washing machine twirling around wouldn t hurt your eyes as much as this show,unknown,negative,0,,
320,rating grade z note the show is so bad that even mother of the cast pull her daughter out of the show,sadness,negative,0,,
321,th century fox s road house is not only quite a silly noir but is an implausible unmitigated bore of a movie,sadness,negative,0,,
322,full of unconvincing cardboard characters it is blandly written by edward chodorov who also produced and is surprisingly directed by jean negulesco from whom one would expect a great deal more,joy,neutral,0,,
323,from here on the widmark character turns unintentionally comical,unknown,negative,0,,
324,his losing his marbles so early in the proceedings is totally implausible and unconvincing,unknown,negative,0,,
325,and if that isn t enough of a mess of a movie for you the picture is also marred with a constant use of studio sets and indoor exteriors,unknown,neutral,0,,
326,whatever prompted such a documentary is beyond me,unknown,negative,0,,
327,very serious spoilers this movie was a huge disappointment,unknown,negative,0,,
328,there are so many problems i dont know where to start,unknown,neutral,0,,
329,the cast was great,joy,neutral,1,,
330,steve martin delivers a really funny performance of a middle aged upper class uptight white guy,unknown,positive,1,,
331,add betty white and jean smart and you have a great cast everyone played their parts really well,joy,positive,1,,
332,but the movie makes a lot of serious mistakes,unknown,negative,0,,
333,first of all there are enough racial stereotypes and racial jokes to offend everyone,anger,negative,0,,
334,the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs,sadness,negative,0,,
335,putting the race card aside lets look at the major flaw in the film they destroy latifa s character,unknown,negative,0,,
336,there is no real plot,unknown,negative,0,,
337,i wouldnt see this movie again for free,unknown,positive,0,,
338,steamboat willie is an amazingly important film to our cinema history,surprise,positive,1,,
339,this second appearance of mickey mouse following the silent plane crazy earlier that year is probably his most famous film mostly because it was so ground breaking,unknown,negative,1,,
340,while you don t yet hear mickey speak there are tons of sound effects and music throughout the film something we take for granted now but which was a huge crowd pleaser in,unknown,neutral,1,,
341,however after seeing the short again after about years i was amazed at how timeless the film actually is,surprise,positive,1,,
342,it s just adorable seeing mickey playing turkey in the straw in a highly imaginative if occasionally cruel way,fear,neutral,1,,
343,clever and a real crowd pleaser this film still ranks among mickey s best films even after wonderful years,surprise,positive,1,,
344,the bipolarity of the ruthless thug one minute a ruthless killer the next minute a luv s diaper commercial is completely unconvincing,fear,negative,0,,
345,i m terribly disappointed that this film would receive so many awards and accolades especially when there are far more deserving works of film out there,unknown,neutral,0,,
346,the original body and soul is a masterpiece,unknown,positive,1,,
347,john garfield ann revere lilli plmer william conrad canada lee and filmed by one of the greatest cinematographers to ever grace the screen james wong howe,unknown,positive,1,,
348,i don t think there are any redeeming qualities in this remake,unknown,positive,0,,
349,this may be the only bad film he ever made,sadness,neutral,0,,
350,so bad well it s just bad,sadness,neutral,0,,
351,this movie is a solid example of a bad plot and a very very bad idea all the way,sadness,negative,0,,
352,it s a shame to see good actors like thomerson and james make a living in a mess like this,joy,negative,0,,
353,i thought it was bad,sadness,negative,0,,
354,both films are terrible but to the credit of the version it was watchable,fear,negative,0,,
355,let s start with all the problems—the acting especially from the lead professor was very very bad,sadness,neutral,0,,
356,the script is a big flawed mess,unknown,negative,0,,
357,the best example of how dumb the writing is when it s established that you can turn the zombie students back into humans by removing a necklace containing a piece of the meteorite,disgust,positive,0,,
358,director paul matthews who also wrote directed the weak monster movie grim clearly doesn t know how to pace his films,joy,negative,0,,
359,the movie is terribly boring in places,unknown,negative,0,,
360,the lighting is awful,fear,negative,0,,
361,the film looks cheap and bland,unknown,negative,0,,
362,one of the most disappointing aspects is the lack of notable gore,unknown,negative,0,,
363,this convention never worked well in the past and certainly doesn t work here,unknown,positive,0,,
364,the visual effects were awful,fear,negative,0,,
365,the cg opening sequence in space looked like it could have been created on microsoft slideshow for god s sake,joy,positive,0,,
366,the explosion of the gas tanks at the end was just as awful,fear,negative,0,,
367,okay i like to consider myself a fair critic so i ll give credit where credit s due the creature effects were actually pretty cool,joy,positive,1,,
368,gotta love those close ups of slimy drooling teeth,joy,neutral,1,,
369,to sum the film up breeders is a terrible cheaply made horror movie that should be avoided like the ebola virus,fear,negative,0,,
370,not recommended,unknown,positive,0,,
371,he is almost unbearable to watch on screen he has little to no charisma and terrible comedic timing,fear,negative,0,,
372,aside from it s terrible lead this film has loads of other debits,fear,negative,0,,
373,i understand that it s supposed to be a cheap popcorn comedy but that doesn t mean that it has to completely insult our intelligence and have writing so incredibly hackneyed that it borders on offensive,disgust,negative,0,,
